plate_key,sample_name,experiment,time,sample_no
a9,exp1_4end,1,2,4
b9,exp1_4end,1,2,4
c9,exp3_2end,3,2,2
d9,exp3_2end,3,2,2
e9,exp3_4end,3,2,4
f9,exp3_4end,3,2,4
g9,13b_end,unknown,2,13b
h9,13b_end,unknown,2,13b
a10,exp1_33end,1,2,33
b10,exp1_33end,1,2,33
c10,exp3_6end,3,2,6
d10,exp3_6end,3,2,6
e10,exp3_1end,3,2,1
f10,exp3_1end,3,2,1
g10,exp3_3end,3,2,3
h10,exp3_3end,3,2,3
a11,exp1_28end,1,2,28
b11,exp1_28end,1,2,28
c11,exp3_35end,3,2,35
d11,exp3_35end,3,2,35
e11,exp1_6end,1,2,6
f11,exp1_6end,1,2,6
g11,exp1_31end,1,2,31
h11,exp1_31end,1,2,31
a12,exp1_3end,1,2,3
b12,exp1_3end,1,2,3
c12,exp3_28end,3,2,28
d12,exp3_28end,3,2,28
e12,exp1_1end,1,2,1
f12,exp1_1end,1,2,1
g12,exp1_27end,1,2,27
h12,exp1_27end,1,2,27
