plate_key,sample_name,experiment,time,sample_no
a4,exp3_30end,3,2,30
b4,exp3_30end,3,2,30
c4,exp4_12end,4,2,12
d4,exp4_12end,4,2,12
e4,exp3_32end,3,2,32
f4,exp3_32end,3,2,32
g4,exp1_5end,1,2,5
h4,exp1_5end,1,2,5
a5,exp4_20end,4,2,20
b5,exp4_20end,4,2,20
c5,exp1_35end,1,2,35
d5,exp1_35end,1,2,35
e5,exp3_5end,3,2,5
f5,exp3_5end,3,2,5
g5,exp4_16end,4,2,16
h5,exp4_16end,4,2,16
a6,exp4_c53end,4,2,C53
b6,exp4_c53end,4,2,C53
c6,exp4_22end,4,2,22
d6,exp4_22end,4,2,22
e6,exp1_29end,1,2,29
f6,exp1_29end,1,2,29
g6,exp3_17end,3,2,17
h6,exp3_17end,3,2,17
a7,exp4_9end,4,2,9
b7,exp4_9end,4,2,9
c7,exp4_23aend,4,2,23
d7,exp4_23aend,4,2,23
e7,exp4_c50end,4,2,C50
f7,exp4_c50end,4,2,C50
g7,exp1_13end,1,2,13
h7,exp1_13end,1,2,13
a8,exp1_30end,1,2,30
b8,exp1_30end,1,2,30
c8,exp4_c49end,4,2,C49
d8,exp4_c49end,4,2,C49
e8,exp4_18end,4,2,18
f8,exp4_18end,4,2,18
g8,exp4_41end,4,2,41
h8,exp4_41end,4,2,41
a9,exp1_36end,1,2,36
b9,exp1_36end,1,2,36
c9,exp1_2end,1,2,2
d9,exp1_2end,1,2,2
e9,exp4_c52end,4,2,C52
f9,exp4_c52end,4,2,C52
g9,exp3_29aend,3,2,29
h9,exp3_29aend,3,2,29
a10,exp4_4end,4,2,4
b10,exp4_4end,4,2,4
c10,exp2_c52end,2,2,C52
d10,exp2_c52end,2,2,C52
e10,ex3_27end,3,2,27
f10,ex3_27end,3,2,27
g10,exp2_41end,2,2,41
h10,exp2_41end,2,2,41
a11,exp2_23end,2,2,23
b11,exp2_23end,2,2,23
c11,exp2_24end,2,2,24
d11,exp2_24end,2,2,24
e11,exp2_c50end,2,2,C50
f11,exp2_c50end,2,2,C50
g11,exp1_25end,1,2,25
h11,exp1_25end,1,2,25
a12,exp2_20end,2,2,20
b12,exp2_20end,2,2,20
c12,exp2_21end,2,2,21
d12,exp2_21end,2,2,21
e12,exp2_c49end,2,2,C49
f12,exp2_c49end,2,2,C49
g12,exp2_22end,2,2,22
h12,exp2_22end,2,2,22
