"","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10","PC11","PC12","PC13","PC14","PC15","PC16","PC17","PC18","PC19","PC20","PC21","PC22","PC23","PC24","PC25","PC26","PC27","PC28","PC29","PC30","PC31","PC32","PC33","PC34","PC35","PC36","PC37","PC38","PC39","PC40"
"X8.436166407",-0.0367853907318393,-0.0184387570457539,-0.0113135146638438,0.00195564615409566,-0.000382052379029765,0.0228094063760871,-0.00357979179928139,-0.0202668304724499,-0.0029713252138393,-0.00715056261458135,-0.00180577158356039,-0.0157514622353871,0.0166810046953233,0.0198576969488991,0.0346542113406098,0.0297551669464203,-0.0392976352415537,-0.014786822921118,-0.00948797639274553,-0.013052971531897,-0.0491365018401516,-0.0183296993977369,-0.0215402238511798,-0.00234623394132953,-0.00608107159666221,-0.000484574753107445,-0.0162890097893778,0.00787893641137331,-0.0146631274728345,-0.00199550805392836,0.000772882489756565,-0.00748470571891099,0.0292620258684076,0.00748145073034648,0.00504075871617594,-0.0037233581557017,-3.4677904785772e-05,-0.00976279918703654,0.00825526342851225,-0.306045014622092
"X8.436666407",-0.0365171372906464,-0.016702416709086,-0.0104032275950627,-0.000251825974796057,0.0034182454667841,0.0228981496481747,-0.0115780039663091,-0.0251692043586978,0.003122450891584,-0.00512159636992324,0.000397425268775601,-0.0157376336926034,0.0210215522128834,0.0211286581365951,0.034986562666298,0.0323334542345343,-0.0371031337079975,-0.0156571376042759,-0.0125562327631203,-0.0117108660487134,-0.0524968328016806,-0.0214255808435393,-0.0194844955595128,-0.00562781346407623,-0.008687625027438,-0.00161420155434838,-0.0185862574950044,0.00331493764159546,-0.0123847080337036,0.00091005324461888,0.00360056626209325,-0.0109385758542643,0.0280982745323107,0.00507429856247655,0.00982536189069019,-0.00397348191548138,-0.00482292872034314,-0.00972728377753829,0.00666162925956939,-0.0549864098006325
"X8.437333094",-0.0300790897831372,-0.00259089487182203,0.00600292772598521,-0.0115739672821513,0.0149768121486798,0.00714013116913248,-0.0508490673836009,-0.0331154701665219,-0.000517344506317791,0.0129472271050862,0.00146195442877055,-0.0348170131736782,0.0246309130410133,0.0108451923032238,0.00517226822913786,0.0308541837263829,-0.0620755206647914,0.00542886118062015,-0.0312290336416711,0.0396457470958391,-0.00782021497381963,-0.082839760265163,-0.0231982444648248,0.0192763383997821,-0.0175078803771246,0.00529547776935555,-0.0267730078364312,-0.0569422157246074,-0.0190838789428401,-0.0223025104749305,-0.00926084097324522,0.00358554017060465,0.0395276392192509,-0.0199252860077919,-0.00949583284731036,-0.0354274142018318,0.000607884550809845,-0.0325956229803172,-0.011940405537172,0.0580945737849061
"X8.437583094",-0.0369177996737418,-0.0153222711104881,-0.0065376570792431,0.00174355058502446,-0.00402287745453452,0.0197979261043417,-0.00818625279988918,-0.0233093985263846,-0.0128010386018937,-0.0185060095670932,0.00374098083485727,-0.023710903513339,0.0130407846556237,0.0207790941381086,0.0170082772731353,0.0342849773710149,-0.0494555279423846,0.00138248348706423,-0.0118689350272186,0.0227439969254908,-0.0307060848904772,-0.0306427521107966,-0.00671853997945884,0.0107126086027096,-0.00375419103127902,-0.0200540903369403,-0.0318455905758635,-0.0183641789405317,0.000686766814906701,-0.0014151168173841,-0.00219638813302644,-0.00789614978173498,0.0279578162813464,-0.00474426404229505,0.00806278577024133,-0.0140885652828806,-0.00304140117179089,-0.0169949494968862,0.0036305571174251,0.0336906590006059
"X8.437833094",-0.0194368979407788,-0.0279797862553566,0.0120988165432515,0.000302037649914354,-0.00621484622689098,0.032673132697724,-0.00492813015829455,0.0707068220766233,0.0228907969092154,0.00833840734611857,-0.0362313428176521,-0.0315817134596594,0.0389271827971717,0.0334331451263969,0.0511953601742068,0.0333462197265804,-0.037020945332198,-0.0121594263506526,-0.0143746686329084,-0.0285003168841785,-0.0528705633213777,-0.0192463834472019,-0.00975797396127433,0.00562181042116175,0.00550385412554807,0.00797543469451455,-0.0473535498162965,0.0161096541489791,-0.00746853447504772,-0.0111438742155191,0.0525621338881273,-0.000432115004686678,0.0715204452330615,0.00658164061408088,0.0236504286642672,0.00305133687206168,-0.0206629977883255,-0.0134020981095515,0.00708004308843786,-0.123342133843884
"X8.438249761",-0.0347949179073184,-0.0146395584939433,-0.0122758347193878,-0.00483295155584363,0.00255858293876223,0.0271251925580712,-0.00891401533519418,-0.024371747152917,0.00242116970798423,-0.00640603521129063,-0.00840439489304355,-0.0168970045420068,0.0218665428366982,0.0219071026227489,0.0459288069182267,0.0440041198062359,-0.0415436867140825,-0.0221613020787834,-0.0169143492299819,-0.0202901874557723,-0.0541180617840329,-0.0324565742673509,-0.0213300984342653,-0.00828035731517494,-0.0172271552167261,-0.00591202210053675,-0.0211457390657085,0.00357343208686539,-0.0148731623197364,-0.00631375474907123,0.0121246111775032,-0.00648340281034651,0.0325868635994112,0.00178071627562949,0.0180082026880696,-0.00743228129341084,-0.00376528795610508,-0.0066246766492176,0.00907262997557309,-0.174069688468104
"X8.442499741",-0.0337364036606802,-0.0296117783162427,-0.0180926725790561,-0.00841526177514434,-0.015135648948985,0.0179290438470393,-0.0117425182624496,-0.0221501072784625,-0.0113910912209143,0.00950916164573928,0.0154915851008372,-0.00490956376167063,0.0210050770059511,0.00718192092051136,0.0200506628854335,-0.00291074139133555,-0.0409054939155574,-0.000397601260150622,0.0145115522073001,-0.0102933374736426,-0.0375518223059378,0.00516520450015881,-0.027376997890069,-0.000590279225897376,-0.0168287168472134,0.00967520384621335,0.0104278188563286,0.00660475712744577,0.00887830184730025,-0.00992514066068789,0.0231205555667466,-0.00233202508196672,-0.000860692143066157,-0.00459407817919257,0.0109081584052517,0.00727192269598613,0.00269978708411454,0.00435642633550082,0.00793959077716854,-0.175806072786469
"X8.449999555",-0.036342488660538,-0.0189695556327399,-0.0133577998372447,0.00194185020286907,0.00068046166899892,0.0229237493841374,-0.0123016456327747,-0.022744638191553,0.00446313187046536,-0.0088445435814587,0.000555016490626381,-0.0143696106222995,0.0198472328286668,0.0128876209167696,0.0435454381233742,0.0264195203631605,-0.031124555035988,-0.0115170132557412,-0.0162132919499984,-0.0130085965730207,-0.0454647138795647,-0.0268968478325142,-0.0160996036610587,0.000184741087236765,-0.00142046593184231,-0.00340677733941559,-0.00956324885387058,0.00122149583447756,-0.00201533573012403,0.0074400710761904,0.0105466721101553,-0.0123981452466195,0.030142523091592,0.0032016180646675,0.0145497153795833,-0.00713234371470212,-0.00133620449600146,-0.0134866012337874,0.00628258355355712,-0.0457582057671627
"X8.585916742",-0.0342973397113362,-0.029074013336165,-0.0188385335487694,0.0140926549838166,0.0106033408886446,0.0141066179187061,0.000974031558834475,-0.00850779638165122,-0.00896224038013559,0.000802743751249725,-0.000471024287117524,-0.0159795070348376,0.0238169113565755,-0.0116697455677984,-0.00835627021750254,0.00364604382373182,0.0315386557224828,-0.017237909090793,0.0201957435367413,0.0116207370557233,-0.0396449378594221,0.0285856056437472,0.0288529159216592,0.000184698125150833,0.0119384945033902,-0.0123401722758348,-0.0247671127977965,-0.0180390415810616,0.00309718885976836,0.0167629307395541,0.00197882602842835,0.0121849685912532,0.00105892538400457,-0.00557027290645808,0.0154757874325374,0.0106295271217025,-0.00432869441677665,-0.00924381961597007,0.000217936571979565,0.118544529874789
"X8.896167029",-0.029808301980381,-0.0148135435452345,-0.0288313501235349,0.00114021549827624,-0.00680218485039737,-0.0094004505401094,-0.0434110943649687,-0.0208360161359128,0.0224591426102574,0.0309769745156113,0.000853443309139802,0.036567292680292,0.0173371546792475,0.054683161522406,0.0473820836164003,0.0112236743211683,-0.00922889647881455,-0.0142841280268544,0.0228014436748173,-0.00179588463023472,-0.045167000579452,0.0205163917744519,0.00326947548857868,-0.0247137364833819,0.00609897480411343,0.0233453081535464,0.00468649546566654,0.0307376007437234,-0.000479108722906693,-0.00241219944664594,-0.0125382262424442,0.0157231156052231,-0.0175249918980057,-0.0021307725724757,0.0112738287467882,0.0346953631314374,0.024813903933809,0.00898325164826548,0.0122247998750406,-0.0206700605891136
"X9.17500017",0.0172099544539257,0.00507536240476426,0.0170338032391212,0.023408628452008,0.029055067120093,0.037158702684492,-0.0357934853413372,-0.0229746209347605,0.0332620697917087,0.00973544834512656,-0.0428067167598715,0.0738536375942285,-0.00415263525961977,-0.00782851571348495,-0.00227885276582737,0.0288948545593309,0.0454086645424401,-0.00876450947806217,-0.0484688585855496,0.0614839571667577,0.069156361607281,-0.0057516675674568,0.0361582566290377,0.00564148862236749,0.0517018035444151,0.0149414321570498,-0.0572451177924381,-0.0195677811458907,0.0163512536920964,-0.0311590245923732,0.0268915754983169,-0.00482929513300198,-0.0448274464386012,0.0288041618131294,0.00489733495055534,0.0446926201041969,0.00957484455952951,-0.0112696145156976,-0.00834966095267797,0.0362873348982988
"X9.175417023",0.0261635562344047,0.0109711191073412,0.0192153609674381,0.0220619998155542,0.035239011617268,0.0155076541390178,-0.0074817879659587,-0.0352539995105315,0.024156634044642,0.0131708128341408,-0.0468395120333935,0.0460318579970401,0.00465450817302784,0.00413179986457252,0.0203909110535307,0.0253478643806775,0.00977416342563544,-0.00655106809631677,-0.0423652135888259,0.0303718512356348,0.0483670616373182,-0.0417342164606329,0.0411448218847962,0.0142318725356567,0.0413223097066561,0.0156069634000944,-0.0512983221367328,-0.0232096814686906,-0.013463679342238,-0.0392027601796967,0.0237263518628233,-0.00207174429863037,-0.038361109790136,0.0185052983278484,-0.0178770269344992,0.03960231317239,0.0180901615071351,0.00406219847756826,-0.00658878430917047,0.0872071636316055
"X9.1766664",-0.0164204195119106,-0.0316351141185241,-0.000182538215464847,-0.0032217950010605,0.0389518128345865,0.0287496856267474,-0.0559552246225354,-0.0254391248992516,0.0465377400535723,0.0530576889276955,-0.00594776646510732,0.00696302835256322,0.046390844073701,-0.0441168281856174,-0.00268875187806587,0.0261668090677561,0.0203090238271876,-0.0437776254250342,-0.032688361902621,-0.0116962748781563,0.00643571904118726,0.00135796547547736,-0.00433650292047841,0.00369678567638136,0.0205699061259617,0.00292676970093406,-0.000193613835683332,-0.0169872503481495,0.01611501047743,-0.0370021878339925,-0.00757958822498386,-0.00981269545855966,-0.000892204865535687,0.00337356449932316,0.00928676541479261,0.01095227151458,0.00239738040875922,-0.0247580572909602,0.00746301696156141,-0.082323032215207
"X9.176666957",0.0126656324440388,-0.0108335863836845,-0.00491582016107606,0.0141917915508027,0.0255757392710912,0.0462247497709037,0.0191065397678808,-0.0353750930622907,0.0288191911477391,0.00577704573062214,-0.0496656421869337,0.0789185123867243,-0.0248029357265337,-0.000611146778198203,0.00642367165714832,0.0334370760034855,0.0588971165106624,-0.0103583295014656,-0.0441072518431716,0.0563073102192054,0.0888132193741174,-0.0125150966968722,0.0124330184074217,-0.0137050585984566,0.0678660750491007,0.0353724751660677,-0.0510182359725945,-0.033639181974588,0.00198042296400936,-0.0455883772753434,0.0329832459361883,-0.00347075100765926,-0.0565034753392721,0.0274412112019497,0.00983708869625799,0.0264610346859645,0.0155226621234907,-0.0246564809976357,-0.00703206137932681,0.012789833295009
"X9.182166672",-0.0229605734653304,-0.042432611370295,-0.00873539313559889,0.0297068769232456,0.0305032157588285,0.0270375282257448,0.0274455361195302,-0.0063699276860788,0.00240724649426252,0.00868723717465233,-0.0138637287783935,0.00537244759731992,0.0351059798441072,-0.0219760682364501,0.00883978790870791,0.0172474091153179,0.0281640678917684,-0.0411054144383145,-0.0118637578223843,-0.00597064694221935,0.007372775086004,0.0019981228886209,-0.0102804373043772,-0.00452130273503872,0.017576566433274,0.00974188297435427,0.00524056586636119,-0.0178497506437359,0.00844401246221265,-0.0242055665501498,-0.000402989558740733,-0.015681991770843,0.00240124582505356,0.00528743280401291,0.00540080458223388,0.0104848387203361,0.00466218269048743,-0.0186784771846738,0.00821006170027652,-0.0024585060763322
"X9.188416734",-0.0221519641461804,-0.0426562643906809,-0.00846093411889163,0.0293435085872095,0.0319292312104958,0.0277079066966875,0.0285202288859378,-0.00812714748907643,0.00293336300397242,0.00856464621584408,-0.0149387017629746,0.006784661639326,0.0359818298711229,-0.0221167549123604,0.00885121337021809,0.0168947616293598,0.0279667918652342,-0.0435386017568662,-0.0135405059789877,-0.00525602744111101,0.00859586789394905,0.000925090644817419,-0.0106703648044637,-0.00415941789229887,0.0188630189633377,0.0112866956292019,0.00349685907337847,-0.0178667904773964,0.00989196852040447,-0.0261291886042546,-0.000796605181857088,-0.0141784696005347,0.00126082919081617,0.00560478796897925,0.00541401375239696,0.00961812456403723,0.0051042434748251,-0.0187939262171694,0.00853522733513432,-0.0701644868972955
"X9.189499975",-0.0262171656807483,-0.0415830035978213,-0.0135338201470154,0.0283135916539678,0.0158935218849961,0.0268691534071539,0.027606427431594,-0.00533185458062064,0.00735000721121943,-0.00833816311151144,-0.00998105999660753,0.00150001880958768,0.0326910118482945,-0.0178943104342454,-8.14400311268387e-05,0.0117279991021461,0.0245438105715415,-0.0323768226341741,-0.00320455875027737,-0.00964874133275739,0.00239440618615627,0.0143945086867437,-0.00803203151355693,-0.00116094891773381,0.00890636546192141,0.00631989066790089,0.0129509019197924,-0.015265477818671,0.00444502370455038,-0.0193200721157032,-0.0049415921425678,-0.015366565006907,0.00465581362414592,-0.00209039130854852,0.00330509854912426,0.00590376387962748,0.00722971308262086,-0.0166918522207229,0.00692779617690815,-0.0732486513102156
"X9.190333318",-0.0195019387101523,-0.0421478441911818,-0.00686207591923164,0.0283456054533943,0.0373763235284712,0.0324241167961822,0.0280852616932591,-0.0133561896277071,0.00600187069945482,0.00950020784237635,-0.0168586029034058,0.00979663678790729,0.0409186106256347,-0.0245683150480403,0.0111920654987333,0.0211373489389164,0.0281568341369817,-0.0484753897058021,-0.0167034259986864,-0.00784674795215445,0.00993773876600624,-0.00353154126673202,-0.0126245789328726,-0.00519280124263346,0.01952947656959,0.0134171697076365,0.00106224490871942,-0.021390908157847,0.0127366968322542,-0.028860268231566,0.00061816568228463,-0.0145327693925361,0.00160453893523512,0.0130858555668908,0.00693942662632647,0.0157544714366878,0.0042747233796107,-0.0230609484703006,0.0112076448628819,-0.123060448263955
"X9.191083308",-0.0196558227146427,-0.0406321176919809,-0.00885690269878057,0.0249175004451964,0.0375557400074558,0.0302757981176288,0.0105052505216763,-0.0168088686281,0.0152921181346256,0.0291863935314028,-0.0187890603622087,0.0210263870657855,0.0192550449052401,-0.0441092987676631,0.00933009586737868,0.019442037325967,0.0377436504972136,-0.0522324422905818,-0.0294971824570467,-0.0051772246052392,0.00457639262021015,-0.00318867580475859,-0.00263486022265295,-0.00641907296960218,0.009395765042497,0.0109494610649178,0.0123699642070392,-0.00991674093693033,0.0114304928515472,-0.0440957808951322,0.0203910494990172,0.017498392320168,-0.0115833319669556,0.0375402322498528,-0.00862046522202459,0.0104234847581429,0.00468865489276851,-0.00709006387526464,-0.0019837334382787,-0.0513834796035451
