"","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10","PC11","PC12","PC13","PC14","PC15","PC16","PC17","PC18","PC19","PC20","PC21","PC22","PC23","PC24","PC25","PC26","PC27","PC28","PC29","PC30","PC31","PC32","PC33","PC34","PC35","PC36","PC37","PC38","PC39","PC40"
"X8.436166407",-0.0393900267958211,-0.0172045672074788,0.0111343397753462,-0.00517468329633276,-0.00165309996526937,-0.0108422077445928,-0.0241874656590646,0.0110580156331772,0.00059143605453506,0.008232266097972,0.00143050239733255,-0.0163226622372524,0.00760869695167006,0.0147444495064404,0.0263040381009696,-0.000742569770058917,-0.0239980819667548,-0.00818111268497163,0.0189434068641828,-0.0143558115685858,-0.0346002177578527,0.0145096242307531,-0.010947030117589,-0.0295950842823627,-0.00590893420196259,-0.0152754760533183,0.0405436520457792,1.41623651215763e-05,0.0202291560786262,0.00569731585881699,-0.00593158437511975,-0.0354346737095185,0.0105425098798326,-0.00348629009223419,-0.00127057352819953,-0.0422271042597438,0.00738927739730219,-0.011646531627459,-0.00915817949139413,-0.275446680478202
"X8.436666407",-0.0360867023287059,-0.0145390386911323,0.00936006571863518,-0.00332452993202484,-0.00430489376688642,-0.00957929713458062,-0.0218551232075373,0.0141010698073903,0.00735992139810046,0.00188052006119284,0.00216301928627099,-0.0186172695001537,0.00837447620883909,0.016364306299881,0.0261054279266915,0.00121685025115543,-0.0217831493856654,-0.010347020253776,0.016516064595519,-0.0139880480694631,-0.0339210965680536,0.00974856250401048,-0.0121309858540851,-0.0308611164926421,-0.00382881948110899,-0.0120966774448815,0.0372307340168726,0.000617391257369273,0.0255404885538741,0.00975807309289435,-0.00121467240251139,-0.0373674150800669,0.0111341139187449,-0.00286898974822332,0.00182048282827219,-0.0401183038758164,0.00896936570248033,-0.00611829856672214,-0.0127176485913136,0.192303078063619
"X8.437333094",-0.0144924955018222,-0.0014560564935994,0.00362429906374683,0.0039941424901926,9.50155130288019e-05,-0.00224694439599671,-0.00562720899617674,0.0171258137645534,0.0258992031258642,-0.00387413728716728,-0.00503260815288839,-0.00730541504482267,0.0176575471924542,0.0107060167713999,0.00865853830190174,-0.00686347059847458,-0.0107547609527192,0.00118544658927843,0.0279333461447181,0.00557354554598965,0.00145106719662528,0.00212276744325915,0.007419607678292,-0.0175746620841616,0.0169577984163138,-0.0124875740452406,0.00719738586802763,0.00565066656798855,0.0327895788461184,0.00844658165734867,-0.0130284532994278,-0.0317256262536324,0.00534141395486296,-0.00167437810126479,0.0042901430683429,-0.0116269494170515,0.00391954527096906,-0.0102347936385093,-0.00753400657150913,0.105884990708114
"X8.437583094",-0.0154818171348607,-0.00572788015728185,0.00497469538822129,-0.00156824609673487,0.00190879673613015,-0.00370843426500038,-0.00845660531917806,0.00531881130097816,0.00188006879412282,0.00375969711668141,0.00327066432112109,-0.00458566911050009,0.00882656760458824,0.0101009161970997,0.0101240837680961,7.13959471918271e-05,-0.00649571498228843,0.00117565198255758,0.0145220272809764,7.52557455901076e-05,-0.00064105485434381,0.00143954789403942,0.00371350420123848,-0.0147052794474611,-0.00551848890952157,-0.00436730003275573,0.00936086477792418,0.00106855128652911,0.0186401914467639,0.00204657928938202,-0.00710917865960456,-0.0155862912519693,0.00272051264867693,-0.00564070825962159,0.000477137171730293,-0.0122874295432247,0.00166396075100415,-0.00495658888311416,-0.0110053340118514,-0.189721385865822
"X8.437833094",-0.0101234787561572,-0.00736295593580485,0.00551817720438713,0.00427313584122182,-0.000756898604035715,-0.0107647695537539,-0.0100665114126173,-0.0301893975062562,0.0161166693254916,0.019968506003493,-0.0158822852022596,0.002629337369959,-0.00351978788238289,0.000762113378391397,0.0018194031108244,-0.00392679416909391,0.00126965665318697,-0.0107685885752488,-0.00651575027060488,-0.0139061322769649,-0.025383329735554,0.00834722891931958,-0.00311530033326707,-0.0183385047607952,-0.0157636528622106,-0.0155400750234689,0.0383113527118023,-0.00141469524951506,0.0200180606432787,0.0145623079868679,-0.0125855193591032,-0.0237577634471611,0.0120401565003905,-0.0158490196284791,0.0136997412437728,-0.0434707579758857,0.011341709906515,0.00669070486576452,-0.00537552710096689,-0.0477812471594663
"X8.438249761",-0.0136713807685795,-0.00553066683447987,0.00199654406490337,3.49930517629314e-05,-0.00185955804093484,-0.00220495837610108,-0.00910702282889537,0.00511837924565584,0.00159965271653079,0.00327229611692784,0.000400246913575881,-0.0075432573410618,0.00471679940261885,0.00660760330986303,0.0117739513826158,0.000623840880953337,-0.00889101361380567,-0.00648596127454624,0.00717685313424065,-0.005514046525341,-0.0168282239404403,0.00675503146011062,-0.00661828837016168,-0.0142674737803858,0.000555742969093198,-0.00694782220450895,0.0182319326750329,0.000778167465055313,0.0119634131818828,0.00746405910354001,-0.000765434636714791,-0.0154652261665612,0.00388465093448219,-0.00478981273632766,0.00177726341015591,-0.0164581678275755,0.00221324049152731,-0.000790088707764344,-0.0087439270655837,0.162221034090118
"X8.442499741",-0.0128092387889015,-0.0109144442077833,0.00209566657443392,-0.00178352700918126,0.00311375429761055,-0.0049335655132556,-0.00845753404210643,0.00554700880459748,0.00257478947071318,-0.00409694989004523,0.000434387799067888,-0.000937907509057948,-0.00341934289497907,0.00556646577468379,0.00290543133731326,-0.000447561412763141,-0.00868224173383365,0.00205029626452091,0.0103835941500647,-0.00676261850859204,-0.0145640650947448,0.00234134705984999,-0.00260608564625485,-0.000115813379283203,-0.00559575601592673,-0.00400885455544175,0.00664952147873444,-0.000209694567885589,0.00229685514340776,0.00272358657654002,0.0033176893769241,-0.00387041106060741,-0.000384109326799966,-0.00569653860045559,-0.00115000930141054,0.00535812138105648,0.00347804767536009,0.00550869004088056,0.00129484236540451,-0.0289637610235449
"X8.449999555",-0.0110015607240218,-0.00505966205874158,0.00293347299953063,-0.00194539682325963,-0.00150062210472852,-0.00247671327695177,-0.00638550253106096,0.00299083505391297,0.00157845235574425,0.000188846120437779,0.00133393454454521,-0.0054908813964596,0.00160472491877722,0.00527498907710383,0.0071802981286751,-0.000599499127072292,-0.0041965642066316,-0.00397010168339013,0.00611765158843081,-0.00257299538951233,-0.0129244878144026,0.00283908021997391,-0.00134262038377679,-0.0086060957749562,0.000184084348270532,-0.00432221871198255,0.0100514441106932,-0.000578495430564511,0.00949809656636286,0.00165440000632944,0.00111975403579885,-0.0114976495546465,0.0049227426675642,-0.00211971692829426,0.00131876518663774,-0.0116328502415829,0.00355152991843622,-0.00343305845296693,-0.00649622181939017,0.11600257811627
"X8.585916742",-0.0277228032066523,-0.0197063701975173,0.0138466173685592,-0.0147813317016643,-0.01102418592699,-0.00915821419443569,-0.0164714588479439,0.0101610756743543,0.00102754696693396,0.00486127028565128,-0.0064720152539565,-0.00565023992827421,-0.0107154078868095,-0.000985896839797589,-0.00455990489688264,0.0188962209154742,0.0235626018402793,0.00591413647245925,-0.0141140801249978,-0.0116552417830083,0.00712684638837398,-0.00296051288176817,-0.00375951834516828,-0.0227493737653052,-0.00771033854991385,0.0135690832320072,-0.000474502726453232,-0.00758931093954778,0.0176169442664109,-0.00476444257989179,0.00673501940291845,0.00877397401183808,-0.00672254093394018,-0.000627239499142643,-0.0106113627744121,-0.0108807563507683,0.00125330039591866,-0.00994284182283996,-0.00355006128829398,0.0703286473813341
"X8.896167029",-0.00971293116747212,-0.00635791961312188,0.000155010372105109,-0.00692703403357444,-0.00136288286650229,0.00345875895799664,-0.00206764910954238,0.00595954762430001,0.0104113022890781,-0.0152220386047323,-0.00195023716929787,-0.000826042032490261,-0.00398154820326027,0.00122111693552347,0.0131080597053344,0.000681527307875366,-0.008332696495038,0.00246428352801927,-0.00615706989621699,-0.00605930422195956,-0.0157715629452019,0.0043559306265474,-0.0154799631135783,-0.00243772247502917,-0.0162348060680631,-0.00588311255311496,0.0232204858344216,0.00368972864902445,0.00241123717669781,-0.0058704046195934,0.00803076952930206,-0.0059247580951983,0.00158086840308147,-0.000453999346576069,-0.00807861477368793,0.000922245971356672,0.0019033613640794,-0.00719652582139163,0.00679995400173046,0.045395487905014
