"","Comp 1","Comp 2","Comp 3"
"X8.436166407",-0.0480698122176333,-0.010657787670929,0.00542716265657259
"X8.436666407",-0.0469677853478031,-0.0124420331279403,0.00814488001310499
"X8.437333094",-0.0332484640420184,-0.0235995746324231,0.00271626438613169
"X8.437583094",-0.0469985163971472,-0.0135312038012532,0.000835594929930794
"X8.437833094",-0.0295426235983489,0.00332818308429841,0.00663544649753259
"X8.438249761",-0.0441461250064218,-0.01365806205441,0.0119011521092533
"X8.442499741",-0.0482476474078627,-0.00099665823877802,0.0214021819928801
"X8.449999555",-0.0478663084006698,-0.00978950486011847,0.00801664425262246
"X8.585916742",-0.0497733446593789,0.00152218694494505,0.0041082462331778
"X8.896167029",-0.0400550883138957,-0.00576779659583092,0.00633374068143045
"X9.17500017",0.0197674167121571,0.0143398726141488,-0.0313550825119804
"X9.175417023",0.0321448129720535,0.015374081349171,-0.0359992897322855
"X9.1766664",-0.0283083300342833,0.0103465921456664,0.0270732419892861
"X9.176666957",0.00849693928062901,0.0244635105010927,-0.00801043656114141
"X9.182166672",-0.042263208999896,0.0233773936798231,-0.000621228450652856
"X9.188416734",-0.0413913962236011,0.0240205672002397,-2.18755219658242e-05
"X9.189499975",-0.0457446140462931,0.020281452102936,-0.000742130977465762
"X9.190333318",-0.0381412391554515,0.0253177958864768,0.00218647427540346
"X9.191083308",-0.0376684001074933,0.0234677672634063,0.00271597771965866
"X9.191083411",-0.0462915887929862,0.0203551808680062,-0.00224832487380754
"X9.191416827",-0.0432007708511492,0.023830783009351,-0.000491700704115419
"X9.191833504",-0.0407824093969417,0.0240427726615536,0.000282194541989888
"X9.19216692",-0.0463489258191079,0.0204411086921549,-0.000748142506646056
"X9.192500336",-0.0414047318606926,0.0251855078963564,0.00398794989333838
"X9.192666711",-0.0425567818194788,0.0225598801445525,0.000726431099711945
"X9.192833087",-0.0449112204208922,0.0225548408011887,0.0015641144483199
"X9.193083252",-0.0333783915821093,0.00690956722237446,0.0258535164250228
"X9.193333417",-0.0416746006233898,0.0232911650259699,0.00263815418512067
"X9.193583504",-0.0415996027346818,0.0233617208918028,0.00409125855317784
"X9.193833202",-0.0402097269125784,0.0231592978539826,0.00274362255972824
"X9.19391692",-0.0428528303250232,0.0227778446200327,0.0142588069630324
"X9.194083295",-0.0418282402572827,0.0230466278377902,0.000880863819660742
"X9.194833318",-0.0434812770462327,0.0250276067636146,-0.000587168635446196
"X9.195333504",-0.0428937937360604,0.0223354065641181,0.00043132293371937
"X9.196333318",-0.0396832278150698,0.0253300147968277,0.00323500517514703
"X9.196666651",-0.0409296519669274,0.0236737212891294,0.00772084356090355
"X9.197999799",-0.0359383123607765,0.00611345175125844,0.0239809141858525
"X9.204166466",-0.0431064168714475,0.0243363348046254,0.00508986947057406
"X9.204999985",-0.0379285010321929,0.0261316863410765,0.005146019411895
"X9.205083318",-0.0457458170703522,0.0142185827311463,0.00429597179481282
"X9.205583132",-0.0371904595314314,0.02567088558751,0.0112006324221649
"X9.206500005",-0.0121374463426215,0.0171152433086805,0.0520312919728603
"X10.16725019",-0.0240145444246765,-0.0440608571441503,0.000660348918728583
"X10.17216657",-0.0315295277458035,-0.0445668346060343,-0.0165444784786656
"X10.1722499",-0.0495855964072947,-0.0187935989762467,-0.0127422891103469
"X10.17233324",-0.0406262632294088,-0.0329362637075648,0.000402224886829596
"X10.17233333",-0.041952095971946,-0.0346886752771241,-0.0171618880182864
"X10.17241666",-0.0356116543393359,-0.0393969752570798,0.00177009935892579
"X10.17250009",-0.0255192830479212,-0.0522766868632225,0.000920394526704301
"X10.17266639",-0.0478747219683918,-0.0252723838580274,-0.0087959601104464
"X10.17266658",-0.0387304727366546,-0.038957060068442,-0.0172907153633809
"X10.17266659",-0.0492769939637122,-0.0170707275354765,-0.00510697848097301
"X10.17266667",-0.0378848641074492,-0.0367297790165999,-0.0161885172944403
"X10.17266668",-0.0359609732427997,-0.0413219998424623,-0.0205645600907248
"X10.17266677",-0.0448447447630959,-0.0252160596311819,-0.00980631621325461
"X10.17266678",-0.0332392801496668,-0.0419460114573103,0.00540060417805167
"X10.17266687",-0.0454497013283484,-0.0294233891890138,-0.00731142843130876
"X10.17266695",-0.0368329306885181,-0.0392868797882398,-0.00833351594916323
"X10.17266696",-0.0174434384218094,-0.0395470884407947,-0.0206015612301206
"X10.17274992",-0.0418063054140693,-0.0356816088859632,-0.0112783421183785
"X10.17275002",-0.034796699451989,-0.042386415580109,-0.0237126866611598
"X10.17283307",-0.0401972301754038,-0.0371862448284517,-0.0195487951783392
"X10.17283326",-0.0328440884725595,-0.044558283034299,-0.016732697484298
"X10.17291658",-0.0309069406579812,-0.0491308625569788,-0.00455133731841536
"X10.17300009",-0.0376956412284553,-0.0394472178340337,-0.0119243990710225
"X10.17300018",-0.0362698251247624,-0.0321666190088826,-0.0165392898445079
"X10.17308326",-0.0436417681462088,-0.0284808566316454,-0.0153092040971633
"X10.17316668",-0.039430953655666,-0.0371007288475884,-0.0176454035092678
"X10.17316694",-0.0406114297495677,-0.0361066131854107,-0.0198010031513821
