"","Comp 1","Comp 2","Comp 3"
"X8.436166407",-0.0497491550863522,0.0199271868780541,-0.013160989510116
"X8.436666407",-0.0445029870807032,0.0198860684546164,-0.0109527471706948
"X8.437333094",-0.0143373735098697,0.01209556351849,-0.0097376804452147
"X8.437583094",-0.0189583709508688,0.00815357671900026,-0.00709636428623795
"X8.437833094",-0.0144932076860037,0.00274038897570371,-9.04051698672002e-05
"X8.438249761",-0.0164250690995288,0.00882423013459482,-0.00410116270817768
"X8.442499741",-0.0191675788875735,0.00500853525933186,-0.000300485917047112
"X8.449999555",-0.0140978519411833,0.00543648884029919,-0.00326321009987941
"X8.585916742",-0.0419194617886921,0.00474439590050836,-0.00676247183395571
"X8.896167029",-0.013759292813769,0.00351132580932191,-0.00384887832661604
"X9.17500017",0.082923030230725,-0.0990285838979512,-0.0750930043910945
"X9.175417023",0.142229796423111,-0.114434601376898,-0.070054976984613
"X9.1766664",-0.0162915965549472,-0.00207446774105528,0.00582323187842099
"X9.176666957",0.0179852888200763,-0.0798479290631187,-0.0211070551101816
"X9.182166672",-0.0739225891258542,-0.0309055909559293,-0.00138448566916119
"X9.188416734",-0.0423458338685936,-0.0186131046007557,-0.000173370641367082
"X9.189499975",-0.0337863232310267,-0.00973964842846052,-0.00233724161645388
"X9.190333318",-0.0594843937098615,-0.030064536376027,0.00323884639898251
"X9.191083308",-0.00886759741574394,-0.0042390088857248,-0.00030098972320292
"X9.191083411",-0.0909342051195072,-0.028250060008269,-0.00651473543465236
"X9.191416827",-0.0209874007943906,-0.00852725902364886,0.000134463096181761
"X9.191833504",-0.0843240412792276,-0.0376770152325153,0.000656153874128429
"X9.19216692",-0.0700966848221747,-0.0213863753194604,-0.00391375795196638
"X9.192500336",-0.0377796007498548,-0.0169406446995876,0.00104647397579116
"X9.192666711",-0.0754671237963343,-0.0294414852648848,-0.000396707377778845
"X9.192833087",-0.0832938961384476,-0.030300008327109,-0.00208078444657724
"X9.193083252",-0.0744625463107177,0.00291921698374983,0.0145772591479864
"X9.193333417",-0.113833105306644,-0.0455507092299658,0.003543245092486
"X9.193583504",-0.0113573148054504,-0.00424747581683262,0.000585404401346727
"X9.193833202",-0.0161762081056412,-0.00668567958522855,-0.000241421323888024
"X9.19391692",-0.0342697817386086,-0.0102832281093049,0.00213556752626859
"X9.194083295",-0.100223232599553,-0.0390445873067854,-0.000248660208412779
"X9.194833318",-0.012363196181413,-0.00539698146656395,0.000402495045728981
"X9.195333504",-0.0244047688435072,-0.00921338368078066,-0.000657168771718437
"X9.196333318",-0.0257020229365755,-0.0121389073876242,0.0019785690225868
"X9.196666651",-0.00986247233444587,-0.00401807038465769,0.00128523164561026
"X9.197999799",-0.0128737061791476,0.000166880969200138,0.00174909285014577
"X9.204166466",-0.0122823831032398,-0.00423162447061494,-0.000228586456784003
"X9.204999985",-0.0131734119681539,-0.00663168278156522,0.00170856262882105
"X9.205083318",-0.0141893588668218,-0.00174498361313813,-0.00197786709738489
"X9.205583132",-0.00788385241824686,-0.00351260903379819,0.00142521400231234
"X9.206500005",-0.00883690358760937,-0.00344185459268763,0.0164455299980487
"X10.16725019",-0.00616360718666395,0.0127235214913975,-0.00773915684092438
"X10.17216657",-0.0132279626003848,0.0208459276269968,-0.0188187408213506
"X10.1722499",-0.0263195428775641,0.0109658317535942,-0.0157123084372322
"X10.17233324",-0.0194870387950798,0.0174669822959725,-0.0140576442405965
"X10.17233333",-0.0145994636833234,0.0128384453519288,-0.014495373452003
"X10.17241666",-0.0163949650359525,0.0205182386488941,-0.0145533720328751
"X10.17250009",-0.00596752746195761,0.0152869757140614,-0.00893526347938878
"X10.17266639",-0.00892495992718911,0.00510574845158526,-0.00582567472070694
"X10.17266658",-0.0181756548440903,0.0195294791278229,-0.019878191882312
"X10.17266659",-0.0227487656970909,0.00930500007557567,-0.0104138818370856
"X10.17266667",-0.00793983857958453,0.00849520009928459,-0.0092528393441357
"X10.17266668",-0.036778894150181,0.0440507519642533,-0.0469411628336275
"X10.17266677",-0.0167400649830115,0.0103118118993424,-0.0104174801838498
"X10.17266678",-0.0240684944466449,0.0350434947295627,-0.0220143734254388
"X10.17266687",-0.0164479829134106,0.0120218942801906,-0.0134196656073408
"X10.17266695",-0.0335364027892468,0.0392232232703233,-0.0282942483904447
"X10.17266696",-0.0283138066549092,0.0905734876796423,-0.0852358140552279
"X10.17274992",-0.00729463962742433,0.00675315622186105,-0.00626572628907243
"X10.17275002",-0.030033098386222,0.0387001368447259,-0.0494292198615646
"X10.17283307",-0.0327983000129217,0.0319533467935858,-0.0349601955069688
"X10.17283326",-0.0113627127149319,0.0170910542420134,-0.0154232713910407
"X10.17291658",-0.00621056290438192,0.0116514996796951,-0.00820194721789605
"X10.17300009",-0.014939847941325,0.0171795575972654,-0.0149875921239437
"X10.17300018",-0.00899167788161693,0.00834836912220201,-0.00943109681833157
"X10.17308326",-0.0168357152006331,0.0115943713908374,-0.0138915983614598
"X10.17316668",-0.0283516453282813,0.0294567794827741,-0.0274691423760891
"X10.17316694",-0.0731201597012984,0.0680829921613927,-0.0766396871296502
"X10.17350018",-0.00931660820748728,0.00944085490249062,-0.0095819202473526
"X10.17383342",-0.0125493801739047,0.024933967812855,-0.0114592256251743
"X10.1738336",-0.0274102937004316,0.0341984314849472,-0.0318735483105639
