"","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10","PC11","PC12","PC13","PC14","PC15","PC16","PC17","PC18","PC19","PC20","PC21","PC22","PC23","PC24","PC25","PC26","PC27","PC28","PC29","PC30"
"X8.436166407",0.0359567298456899,-0.0158735287847782,-0.00220259912523809,-0.0136779566028681,0.0048791020113854,0.0203189335792477,0.000357428113018026,0.0191695474896354,0.0141080199745899,0.0129944618707391,0.0111710345656476,-0.01419708841564,0.0146166537240543,-0.027885285836343,-0.0254877667285605,-0.0100662284366686,0.0606782118192173,-0.0281777748027903,0.00486214583366893,-0.00694346325653621,0.00185517020558751,0.0164225153824001,0.00407349568264785,0.0151672328403569,0.0042928672433554,0.00988533252177216,-0.0134600070437061,0.00331379070634248,-0.010732975049753,-0.207906065132258
"X8.436666407",0.0357251831365179,-0.0133874190451689,-0.000567046750301195,-0.0138273347849529,0.000672653057545584,0.0210731780503391,0.0101276849090722,0.0231354317579469,0.0122006620090346,0.0142858612245154,0.0128291211249693,-0.0133337676555828,0.0176570283817584,-0.0271692450088922,-0.0272779915360023,-0.0114430599635141,0.061792568353614,-0.0319205615318304,0.00227721541908827,-0.0108018701327494,-0.00156567320922799,0.0178774766252173,-0.00174200726803391,0.0179325075178795,0.00616822476090683,0.00687534778265035,-0.0172923153424926,0.00177111998783444,-0.00990903070417539,-0.0537051852196316
"X8.437333094",0.0293276504077597,0.00384689456526183,0.0107202586598372,0.000829851106238034,-0.018545657640824,0.0146698012942752,0.0453760333611972,0.0147334874037031,0.0212930333016616,0.0309622232735833,0.0318746329012061,-0.0101242202820435,0.00332512837106282,-0.0474650589157884,0.0352450140352154,0.0258329205341351,0.026944139210917,-0.0712364936456984,-0.000375647387439646,-0.0660364165201855,-0.00369094412946386,0.0100778219735429,-0.0109065342167813,0.000595709348371706,0.0282742911766586,0.0587033907285615,-0.0211378724415515,0.00698595990376217,0.00240731187770882,0.263194501762637
"X8.437583094",0.0363454653300771,-0.0110352947697297,-0.00134623123581577,-0.00729988698239015,0.00761546997187888,0.0185981142049663,0.00148367624293092,0.0211601001668024,0.0294201171530659,0.00833782754674878,0.0172375839608697,-0.0204890075764504,0.0112206828773142,-0.0281828860792834,0.0120402920651146,0.0131705724613099,0.0439746292396724,-0.0353613396343682,-0.0155414904514098,-0.0171787961392193,-0.0133033079884011,0.0276050552935972,-0.0167666530040647,0.0117423780769304,0.0143256916141408,0.0233985873613641,-0.0171546830566307,0.000152324170466254,-0.00569075922801461,0.171390106786502
"X8.437833094",0.0181572605900914,-0.0306509388415102,0.00681121543291346,0.0204437133568371,0.0188231893823572,0.0339761556304567,-0.00553737136091959,-0.0434740960859707,-0.0488523863864638,-0.00483951120551758,0.0403670725605527,-0.0264600257579492,0.0172108456054441,-0.0408653368833446,-0.0515640981280427,-0.00111603296949812,0.0735057884815266,-0.0151695169747492,-0.00620801679854463,-0.0209854332580865,0.0111632286786095,0.0565438230094893,0.00184382133432198,0.048376666368618,-0.00324512048923562,0.017260098340951,-0.0287978531969056,-0.0038245924722412,-0.0246597680851135,-0.147156414511283
"X8.438249761",0.0341827074221088,-0.0100948848310409,0.00301397817276887,-0.0167925737963664,0.00196372114161575,0.0248170287541357,0.00505958230780137,0.0233659322808162,0.00803158470279257,0.0138632404280321,0.0151934874692031,-0.0174297146756572,0.0131436664818611,-0.0375464817386625,-0.040609141345562,-0.0158110837095779,0.0666413012174233,-0.044367201508069,0.000518990123991378,-0.016162656015065,-0.0014377560518873,0.0227406416525015,-0.0029492663893625,0.0231729584804213,0.000435107624276359,0.00927324824268924,-0.0239305265039267,0.00486608618631312,-0.00829797900323894,0.0256383394428298
"X8.442499741",0.033581558781289,-0.0250290540609963,0.00752017178053915,-0.0208109177029777,0.0158478513859642,0.0156831248603032,0.0129302551802125,0.0110108286674417,0.0224076603186749,0.0219910938750421,0.0115716327989296,0.000980621327256898,0.0216460317573657,-0.0193256106271674,-0.0194298479194849,0.00872741556485311,0.0512273090645347,-0.0153558382263664,0.0180550078345298,0.00974937313272276,0.00977789194811968,-0.00155725559924283,-0.0073982447855028,0.00565564083077233,-0.00761332467943408,-0.00739453817862846,-0.000789779119785168,0.00664270383576425,-0.00509529258940515,-0.0472765147882821
"X8.449999555",0.0357839447294443,-0.0158394863790498,-0.00303547294424391,-0.0146183143864223,0.00416032024696674,0.0202490899286656,0.0107103380353791,0.0228522052157563,0.0122987818434305,0.0114509762802033,0.0160346215919335,-0.00961366451138813,0.00851828385175709,-0.0228903486942845,-0.0327057968081875,-0.00797134315511377,0.0550197978908092,-0.0321398744564611,0.0014930088738956,-0.00582097469060579,-0.000645765237510199,0.0169848033500133,-0.00272162923927185,0.0183162806799907,0.008009516658078,0.0102232762712775,-0.0170537809359714,0.003265432086652,-0.0132946035015386,0.0769347955671918
"X8.585916742",0.0331006942497208,-0.029496075969284,-0.0137870109016306,-0.0197864312848658,-0.01081084187957,0.0161867331161189,-0.00419829524893263,-0.00109381223345485,0.00936295384970857,6.58454109388685e-06,0.0196112809314911,0.0230168195091267,0.021548475364608,0.0219662188141829,-0.00252171185991475,-0.0104701667424302,0.0121528070227375,0.0178560955233382,-0.0412966854102915,0.00590126914133754,-0.0366172322241765,0.0104110496205194,-0.00846484086271999,0.00338728214310557,0.00101807918285395,-0.0190253726697683,-0.0128127652405605,-0.00438778509988983,-0.0119896614096283,-0.104325454786369
"X8.896167029",0.0291309498001196,-0.0117357430008553,-0.0063238584932381,-0.0282901704893009,0.00195518464467036,-0.00696828733669679,0.0513980918530757,0.00208234663388023,-0.00742778994800712,0.0289368168239731,-0.0308419349323116,-0.0241206896638636,0.0557083228473852,-0.00127410806496447,-0.0553613003286092,0.00350967195233522,0.0384582920688646,0.0149908804688794,0.00246769860969707,0.0117650626866529,0.00862104917727019,0.00132825056452188,0.0154588655985737,-0.021876354072682,-0.0175369655557792,-0.0336048646656657,-0.00898461159055796,-6.53404321162898e-05,-0.0172657364993827,0.0575931560019507
"X9.17500017",-0.0160472112623552,0.0125765698966456,-0.0254262771987773,0.0107524669921235,-0.0251012893457664,0.0389649063044282,0.0322176525209764,0.0166649607016442,-0.0458342415086036,-0.00868180293072007,-0.0644144550873631,0.0222990545784977,-0.0100483652953753,-0.00164639639247301,0.00248422280988483,0.0497395265622545,-0.0774772121937922,0.0275612762349337,-0.0269960857058922,-0.0699033841393827,-0.0228919707587183,0.0730554907269477,0.00320567618620478,-0.0331461563599138,0.0105717227532775,-0.0451729358225655,0.0416420274520037,-0.0143147380445488,-0.0299413670082832,0.024404116293503
"X9.175417023",-0.0254165034366334,0.0162482403178919,-0.0242718860691278,0.0112978692046163,-0.0354394907395307,0.0138574997420958,0.00786229197713301,0.0272542692008159,-0.0314399985609524,0.00728092843198435,-0.0369974453813479,0.00580009678991495,-0.0103641852896642,-0.037537790989676,-0.0149657726714362,0.0329424937184476,-0.0545556824652884,0.00161586718930188,-0.0351843861851392,-0.0730711606591568,0.00510724698351181,0.0683278832797295,0.0255182870327576,-0.0289093731922362,0.026803538781863,-0.0264109421718325,0.0417470632441346,-0.0124159059426153,-0.0112471930307407,0.00636730740718354
"X9.1766664",0.016715485728325,-0.0256598802394723,0.00367988127016016,-0.00838433642411667,-0.038830867161391,0.0370929670865965,0.0642709163058408,0.0161666880141085,-0.0510505592602247,0.0358465942377524,0.0115425711222327,0.0589696738472839,0.00216880100942078,-0.0155552205693228,-0.0229871129505135,-0.015196989696384,-0.0104985476448677,-0.00538710709086432,-0.00205715495742364,-0.0233383577821108,-0.0311780831278031,0.0202711316945765,0.00387242444851199,-0.0375531632779615,0.0019575873983116,0.00835974598710434,0.00238240684979603,0.00521424909020389,-0.0265065757371134,0.0806166908911875
"X9.176666957",-0.0129038257288085,-0.00434557577149796,-0.0200270909940066,-0.0182469941073548,-0.0198421849794168,0.035072823894064,-0.0182919887419221,0.035444307687266,-0.0479043080492129,-0.00832354618166061,-0.07577602643835,0.00714644448910109,-0.020861032466493,0.000147635959480532,-0.0058517803868266,0.0526321896200636,-0.093341363888128,0.0274427819365629,0.00896987492326513,-0.0824963871766958,-0.0301424628198826,0.0720986972786447,0.0200126462983677,-0.0390834427913115,0.0133098771254388,-0.0517532290773218,0.0340269956401702,0.00240503656600941,-0.0251643581175874,-0.0105559418207441
"X9.182166672",0.0232172958734562,-0.0428281714510956,-0.0265644883618492,-0.00971213047659496,-0.0239069909084238,0.0249923644213904,-0.0303738323231313,0.00998950869393218,-0.0232208204971933,0.00579542748972091,0.00918865916427282,0.0353872116669616,0.0119475349419565,-0.00567236841430257,-0.0317076604601867,-0.00625318507414379,-0.0147710711740727,-0.00567432625302731,0.00922665719389291,-0.0130767893726174,-0.0284072099919293,0.0111845985003503,0.00520621140522085,-0.0246125430065847,0.0108044309752517,0.000826329485074516,0.00258892300700736,0.00721182346477494,-0.0230998000483692,0.000966305254378794
"X9.188416734",0.0224830663040559,-0.0430525891780624,-0.0262587875963388,-0.0100501151518547,-0.0251970766283076,0.0253971096601147,-0.0313136885190739,0.01168855751804,-0.0238621410611373,0.00606195992879482,0.00800443872338562,0.0365749298026975,0.0127826157059959,-0.00713615875992474,-0.0320279552146579,-0.00603743652610005,-0.01616823934547,-0.00622284746231596,0.00969265886406192,-0.0154971351279198,-0.0285162025355501,0.0132341224366715,0.00520430642525245,-0.0272876865190134,0.0097518399769312,0.000284331679666174,0.00286349730499032,0.00756176173524422,-0.0228143902080458,0.0525794787064214
"X9.189499975",0.0259696970996434,-0.0425790264338373,-0.0252031521602684,-0.0128992658779228,-0.0083211258920991,0.022681397767974,-0.0274955841833313,0.0155465333500928,-0.0181791635416807,-0.0107454222827352,0.0117378624996119,0.0295068931081578,0.0147635802175451,-0.00144126511448583,-0.0247903110718302,-0.00810406418598871,-0.00856382987494247,0.000345107988280822,0.00546191755726304,-0.00307605574018604,-0.0244557823596173,-0.00146232968171534,0.00481959955558767,-0.0205873585480826,0.0104851865912889,0.00638231937319679,-0.00101343845360504,0.0101261841734513,-0.0192560091406838,-0.040539967814332
"X9.190333318",0.0199872510886809,-0.0421897680964285,-0.0257735421289193,-0.0100072647213917,-0.030401759340952,0.0301217895147769,-0.0310614305752513,0.0175714177429794,-0.0273155271766489,0.00789409615895345,0.00763952291270834,0.0414029037266619,0.0140181082363608,-0.0125868582098658,-0.0368463907057732,-0.00778159135158865,-0.0167758376586741,-0.00877436057302651,0.01178935416089,-0.0208951603874566,-0.0317190815013061,0.0168365826154722,0.0037472374401581,-0.0292924801714605,0.00934788103255049,-0.00201176728297175,0.00769297948880553,0.00629587203138188,-0.0297590124908614,0.0635026065691272
"X9.191083308",0.0200217885289713,-0.0394370966368432,-0.0234075537076537,-0.0129953016841884,-0.0355074666679712,0.0306265511294129,-0.0106761582556919,0.0142192044142278,-0.0383556621726641,0.0189967793164393,-0.011003123719417,0.052923678383271,-0.00812337033667599,-0.00237344025412376,-0.0392091752160206,-0.00720094464812824,-0.0185502025804523,-0.0154313598911326,-0.00117893047340501,-0.0255134490134466,-0.0253752737246104,0.0131198480108112,0.0149165745272703,-0.024893999300703,-0.0276087715622154,-0.00620741986442877,0.0363938839341902,0.00829405500479057,-0.00963943840371922,0.00789593646383605
"X9.191083411",0.0264197802044345,-0.0429117070536194,-0.0257083439512384,-0.0109827389665122,-0.0149637304202364,0.0186819152258136,-0.0289039551444033,0.00406987964019268,-0.0160439166807332,0.00254580825742503,0.0111358800036399,0.0263497184608081,0.0109719932766854,0.00227375277258109,-0.0270658559981328,-0.00654143299514725,-0.0102620085674512,-0.00213318310645112,0.00836758854964133,-0.00314670562215722,-0.0237190049444877,0.000381193449019413,0.00463149851858429,-0.0196822954027788,0.00900653652886555,0.00310402394414554,-0.00258175182560498,0.00786723614668862,-0.017374621820462,-0.00244642652083496
"X9.191416827",0.0235486746872419,-0.043478540510844,-0.027631489956783,-0.0108938494473303,-0.0199031461496412,0.024213828452044,-0.030561295563059,0.012539726144925,-0.0206322145959737,0.00244121629848456,0.00621987180940557,0.0319485713900246,0.0125970925764342,-0.000854500607490875,-0.0267857544927263,-0.00467935273885936,-0.0140531153398751,-0.00344988031920443,0.0105272149991172,-0.013322837655058,-0.0264570095193015,0.0143378735050954,0.00757666003561594,-0.0231703217335512,0.00711795503078753,0.00446009948278808,-0.00368342071091251,0.00533309493442003,-0.0239528520861149,0.0958495749189391
"X9.191833504",0.0220543626038935,-0.0424143545646253,-0.0264328788360074,-0.00984625195972886,-0.0262046541987701,0.0275622464812392,-0.0305663809517012,0.0135554495116116,-0.0257488854901563,0.00719889087720266,0.00754753794301778,0.037379184665221,0.0136169158106393,-0.00944163443709669,-0.0328386634929659,-0.0060541136779839,-0.0153189471587807,-0.00667184744668388,0.0102345803177585,-0.0167168925583883,-0.0294397734909311,0.0152044003724797,0.00521059808186428,-0.0282927505080581,0.00971290120455404,0.000838066030645375,0.00408207675615711,0.00659016344538229,-0.0247630920762883,0.0376400280999239
"X9.19216692",0.0264913761675132,-0.0430587792339671,-0.0248955696604069,-0.0114811245726639,-0.0148782952502917,0.0200024986844586,-0.0259968023418641,0.00303516151991954,-0.0188925121186246,0.00383568983922866,0.0105252705419188,0.0282370186209921,0.0110444049992719,0.00213741589572827,-0.0259689660721251,-0.00682706152859189,-0.00974533778928428,-0.000717832936458177,0.0074758427861744,-0.00278347261756201,-0.0233729265913416,0.00212249004614218,0.00620366314136565,-0.0208993547930864,0.00973989376401961,0.00499405092292701,-0.00319247756565396,0.00833332143755409,-0.0162518257093323,0.0464251057819522
"X9.192500336",0.0227611285988378,-0.0431516997023395,-0.0251520751194087,-0.0102588380514938,-0.0237280363549749,0.0292928805210753,-0.0280726791230729,0.00820502727750617,-0.0270516031612166,0.00759950765089895,0.00570594148424207,0.0375663825407257,0.0114858043850105,-0.00608498791244654,-0.0290958291682068,-0.00647347555529021,-0.0150825899895461,-0.00381296009944543,0.00771154761097722,-0.0183112600430173,-0.0276325152446463,0.0180386085048248,0.00293405729002612,-0.0278158463336928,0.00321556583410566,0.00513509510643887,0.000688020081105667,0.00666528136108973,-0.0205119244677725,-0.00718901270747228
"X9.192666711",0.0237457355020134,-0.0430588220441124,-0.0242975885661829,-0.0085525383007227,-0.0243665189407835,0.0273543533363209,-0.0255777851675019,0.00237733223417497,-0.0264811205484709,0.00911556414795808,0.0128603797516411,0.0384250681152307,0.00777909248062114,-0.00544122430316879,-0.029455020812907,-0.00726911627434181,-0.0118658524007757,-0.00357452010589862,0.0085175894596997,-0.0119683562257222,-0.0261516311665059,0.0160812752334899,0.0072169149794876,-0.0245109392328459,0.0114067025284346,0.00795247113229087,-0.00203238489300668,0.00949479723043745,-0.0189927548819706,-0.108448779610549
"X9.192833087",0.0255622527775975,-0.0432737754616913,-0.0250211202054116,-0.00978077636606506,-0.0183557205599318,0.023248077236716,-0.0250117956767459,0.00185818693837072,-0.0215263120801821,0.00664675088252622,0.010972463838976,0.032302666862969,0.00958188059949235,0.000377070931871432,-0.0265905579538688,-0.00651720000300783,-0.0119917599481413,-0.00204627629765715,0.00779114827938901,-0.00677447773885087,-0.0245635916377189,0.00829470204796899,0.00572198296476794,-0.0225670011968147,0.0103623130469262,0.0062243510485479,-0.0033133830938795,0.00896670008295813,-0.0157672532331764,-0.0124664728605141
"X9.193083252",0.020660120052916,-0.0267994341956204,0.00553822365628841,-0.011761233798647,-0.021471449888654,0.0341213313333364,0.0703722889706291,0.0122380099134021,-0.0457033326004685,0.0265639136414863,0.0189228073671377,0.0589712858756331,-0.00296350203229809,-0.00184884808299354,-0.0189082932994815,-0.0126072181768201,-0.00695262221434203,0.00323452637708567,-0.00517178897893054,-0.0125350395964488,-0.0278633008194652,0.00740409298330067,0.0043170737966773,-0.0307760179826303,0.00358894848179978,0.0208062305929124,-0.0099791750529683,0.00854796012291317,-0.0194179885333396,-0.0195307435122204
