"Pair_of_PCs","Sum_p_values(F_statistics)","Variance(%)"
"PC2vsPC13",0.151288092294309,13.1
"PC2vsPC10",0.158288358568671,13.8
"PC2vsPC17",0.266238330666419,12.6
"PC13vsPC17",0.287841446596318,2.3
"PC13vsPC18",0.354192583789396,2.2
"PC10vsPC17",0.383702499844549,3
"PC13vsPC20",0.394052696643837,2.1
"PC2vsPC18",0.42443068910378,12.5
"PC1vsPC13",0.429112299871367,38.4
"PC10vsPC18",0.46425896723683,2.9
"PC10vsPC16",0.473894203011933,3
"PC13vsPC21",0.480914926198199,2.1
"PC13vsPC16",0.495041358964603,2.3
"PC3vsPC10",0.523082961889222,11
"PC13vsPC27",0.526946267211979,1.8
"PC10vsPC20",0.528094547781868,2.8
"PC2vsPC26",0.533285066891879,12.2
"PC10vsPC13",0.545559155486743,3.5
"PC3vsPC13",0.555875778756841,10.3
"PC13vsPC29",0.559476279675155,1.7
"PC17vsPC26",0.567478845071511,1.4
"PC9vsPC13",0.567980877669694,3.9
"PC13vsPC26",0.569812714427218,1.9
"PC9vsPC10",0.571437846761407,4.6
"PC2vsPC8",0.581519022253349,14.6
"PC13vsPC22",0.582171640931198,2
"PC2vsPC9",0.591202753779968,14.2
"PC1vsPC10",0.596759740490048,39.1
"PC17vsPC20",0.609377075697049,1.6
"PC10vsPC28",0.616266117337948,2.5
"PC13vsPC28",0.617340648603529,1.8
"PC10vsPC27",0.618150931143574,2.5
"PC12vsPC17",0.622155673413872,2.4
"PC10vsPC21",0.631928477896353,2.8
"PC18vsPC26",0.654546102583574,1.3
"PC13vsPC19",0.675465674873814,2.2
"PC4vsPC13",0.687794631570486,8.9
"PC10vsPC22",0.687910855784212,2.7
"PC10vsPC29",0.691702433690322,2.4
"PC2vsPC29",0.697932902782759,12
"PC3vsPC17",0.702105785532782,9.8
"PC12vsPC13",0.724517277483384,2.9
"PC11vsPC13",0.728805174565907,3
"PC13vsPC14",0.728884975728836,2.7
"PC13vsPC24",0.735041866904992,1.9
"PC3vsPC18",0.735217695818369,9.7
"PC13vsPC15",0.736133228394491,2.5
"PC8vsPC13",0.741184371984755,4.3
"PC17vsPC18",0.745246162001743,1.7
"PC17vsPC27",0.755825084582842,1.3
"PC1vsPC17",0.759507512038015,37.9
"PC10vsPC12",0.771380273678764,3.6
"PC2vsPC4",0.782208338673626,19.2
"PC13vsPC25",0.791217320598952,1.9
"PC17vsPC21",0.79344741841512,1.6
"PC18vsPC20",0.797859716074865,1.5
"PC12vsPC18",0.799042821062032,2.3
"PC5vsPC10",0.805254888645256,6.7
"PC5vsPC13",0.815050541727103,6
"PC2vsPC19",0.82017466787553,12.5
"PC2vsPC12",0.820930846983814,13.2
"PC7vsPC13",0.823031343617715,4.6
"PC11vsPC18",0.823573376027756,2.4
"PC17vsPC22",0.832884213538398,1.5
"PC6vsPC13",0.852308262413502,5.3
"PC2vsPC15",0.859809925258893,12.8
"PC17vsPC28",0.867421684907911,1.3
"PC13vsPC23",0.868085613631783,2
"PC20vsPC26",0.877814932544482,1.2
"PC10vsPC11",0.885218151770722,3.7
"PC4vsPC10",0.886442827641972,9.6
"PC10vsPC19",0.890913785739065,2.9
"PC17vsPC24",0.891272245444927,1.4
"PC16vsPC26",0.906649275628178,1.4
"PC10vsPC14",0.917166778802189,3.4
"PC9vsPC20",0.921209721730431,3.2
"PC2vsPC14",0.924229979556933,13
"PC11vsPC17",0.925578650846406,2.5
"PC1vsPC18",0.926877077543354,37.8
"PC18vsPC21",0.928560488460114,1.5
"PC18vsPC27",0.931546028407789,1.2
"PC16vsPC17",0.936327671143453,1.8
"PC10vsPC26",0.936619881912096,2.6
"PC10vsPC25",0.937353600966925,2.6
"PC10vsPC24",0.939916178527952,2.6
"PC16vsPC18",0.940818287039196,1.7
"PC17vsPC25",0.94204771977421,1.4
"PC17vsPC29",0.945423840270474,1.2
"PC18vsPC22",0.953233456067307,1.4
"PC2vsPC7",0.968251807068391,14.9
"PC18vsPC24",0.973858573272399,1.3
