"","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10","PC11","PC12","PC13","PC14","PC15","PC16","PC17","PC18","PC19","PC20","PC21","PC22","PC23","PC24","PC25","PC26","PC27","PC28","PC29","PC30"
"X8.436166407",0.0399440046527444,0.0105379255536582,0.0123662600804547,-0.00146411510965438,0.00336415171878244,0.0298099190996142,-0.00568592132103719,-0.00572054238408409,-0.00661815018806994,-0.00205905236423641,0.00899018669800779,0.0195433749186897,-0.0190211386978522,0.0342516783063515,0.00163408074981635,-0.02507159957974,0.00411379768067651,0.0388067581134042,0.00253999399501903,0.0100268732377608,-0.0112260848696668,-0.0145512725721327,-0.00307990644644144,-0.0145231926115962,0.0251451336714546,0.0166128876455354,0.010602856105501,0.0190208668489466,-0.00993034993041337,-0.469843403447291
"X8.436666407",0.0364679514847866,0.008417905305796,0.0093112669406403,-0.000425430300540082,0.00541899323770954,0.0283270994331221,-0.00149836045594684,0.00225453221169444,-0.006467755162155,-0.00620780901415091,0.0109073573474557,0.0218157900723005,-0.0183133216713843,0.0322960937654568,-0.000210858234938905,-0.0234439465298567,0.00213007799144049,0.0390461221099617,0.00567985335682055,0.0119790871389369,-0.00912170453116035,-0.00897236761267111,-0.00509922845727059,-0.0173789846483257,0.0263857680136533,0.0215190269035269,0.0105952768945096,0.0191782408025265,-0.0128027251833573,-0.25058716910497
"X8.437333094",0.0146202476798061,-0.0013163144405968,-0.00194585402388532,-0.00325421786168977,0.00120430266489219,0.0137685833246047,0.00877631173499755,0.0224403161368077,-0.00862241339571424,-0.00132226785801561,-0.00529751548426406,0.0241198816292724,-0.00054732612572668,0.0218755474157466,0.00970461884797673,-0.00801630556259628,-0.0146210220576906,-0.00390128446337322,-0.00137882985822907,0.00240633823754126,-0.0268901818656691,0.00445922408837767,-0.0128822703400889,-0.0203962357446872,0.0273574390401309,0.0111634835115422,0.00956134519381804,0.00103752949677937,-0.000734364014557072,-0.00967836297428591
"X8.437583094",0.0158141833245609,0.00248713940552438,0.00419153595893009,-0.00179764864476119,-0.000955054578359668,0.0109973993636877,-0.00207366388062246,-0.00136436119085584,-0.00596188144584158,-0.00184388286678488,0.0032495813337901,0.00950487627428839,-0.00161154111958437,0.0164917323510916,0.00444952999026666,-0.0034739314682721,-0.00864777173516623,0.00163086225903769,0.00625427469441702,0.00562331723700933,-0.0133741336191068,-0.00189319511910813,0.00357144562689189,-0.0104670945277903,0.010926142408781,0.00837432610476303,0.00727120679319644,0.00582690508845345,-0.00466269673545664,-0.064406777932029
"X8.437833094",0.00987444518019845,0.00687651461977434,0.00295742117030818,-0.0118989215959028,0.00149600434130306,0.00862296429569935,-0.0305162341101797,0.0126924031461829,0.00756794992137952,0.0264564806361589,-0.00128103996917664,-0.00271217781113416,-0.00339561392164762,-0.00123619574661698,-0.00692497963796322,-0.00679787351812129,0.00648894243235338,0.0365927316971969,0.00485283589917904,0.00499597084894307,-0.00574076557311712,-0.0217245284167184,0.00625421601277328,-0.0271062067097026,0.0159881932661859,0.0154513009023958,0.00979342455708883,0.0294219435269361,-0.0183003348852091,0.10268322174506
"X8.438249761",0.0138658812449282,0.00327551836499889,0.0012753056295916,0.000530648280327309,0.0027791875558099,0.010576102197353,-0.00169740042324058,-0.0010265435660465,-0.00292504610735754,-0.000172355572097864,0.00417605583986543,0.00962976645887605,-0.00826201127517067,0.0141923721395063,-0.000933103381582859,-0.0113430301804825,0.00194478733312214,0.0188379475030301,0.000928723892464656,0.00557070800053817,-0.00500510978336862,-0.0031301017157813,-0.00429851055359737,-0.00918524674120117,0.00984526277655899,0.0121270868329203,0.00587121428659146,0.0082124460046763,-0.00870088860301403,-0.00186708798834626
"X8.442499741",0.0134011863043163,0.00836078531791428,0.00423526593748225,-0.00037398003794523,-0.00282823207595592,0.0115156330927906,-0.000601327194762215,0.00198080483342018,-0.0032170612670329,-0.00467411237466171,0.000179717621364022,0.00515535140733579,-0.00323589317038259,0.0111480781937422,-0.0024777720335787,-0.00944132211898521,3.26390309306446e-05,0.0120459217717387,-0.00310648171024362,-0.00197418739938101,0.00337651115159343,-0.00537360490951279,0.00620772836089954,-0.000168488730301809,0.00439054377459978,0.00780110831316928,-0.000109968656039593,0.0012978051953972,8.9065153962892e-05,0.151021682520063
"X8.449999555",0.0111242492369894,0.00289289016055473,0.00366208867742173,0.000271872878780444,0.00139131989229596,0.00785597652517517,-0.00149884651393302,0.000354776233855503,-0.00182883225006462,-0.0020351240129235,0.00376245794328684,0.00671337625793577,-0.00475613386410871,0.00934383927043464,-0.0024028453800905,-0.00678570668108071,-0.000141591838201791,0.0113435699231372,-0.00121690532801085,0.00351731170055297,-0.00284286788738508,-0.00177846741303245,-0.00162673022337238,-0.0044548160210068,0.00791770867399727,0.00641359756824516,0.00506254830075835,0.00612578151711154,-0.00289130231846088,-0.12414546940634
"X8.585916742",0.0281637989675343,0.0141723571036369,0.024263418447779,0.00364032806610513,0.0117264738313251,0.0209177106726549,0.00454062449712529,-0.00061337333177946,0.00179989596117827,0.00399279059353056,0.00541059465936727,-0.00783272068330313,0.00380952090229069,-0.00319771017720304,-0.0208354212915067,0.0183052464295475,-0.00960776046624439,0.012682988936399,0.0257658113463021,0.00985270534167197,-0.00340684006522741,0.0173942749711942,0.0011824153119484,0.00439561210553453,-0.0114789509944181,-0.000875429397243781,0.00172088476352342,0.0100441698657422,-0.000486621101489421,0.135879213549614
"X8.896167029",0.00991267524631257,0.00388272235784405,0.00550921954987585,0.00690100734789206,-4.45088867121361e-05,0.00349830509484364,0.00456223399371239,0.0130998705879585,0.0012185293534322,-0.010879970307634,-0.00195017575659995,-0.00160702249457096,-0.00820183155107398,0.013708104924416,0.00274570830239071,-0.00432428369270262,0.0151031327357983,0.023182475042829,0.0050514544705976,0.00585087406913559,0.0113091377107565,-0.00877659434135407,0.00855038734529735,0.00700295423627223,0.000161906955766422,0.00594046144282659,0.00448648953103144,-0.00114257807121939,0.00103727032299007,0.140778639243477
