"Pair_of_PCs","Sum_p_values(F_statistics)","Variance(%)"
"PC14vsPC19",0.06795806889594,2.3
"PC9vsPC14",0.18991631704347,4.2
"PC3vsPC19",0.20068336451396,11.5
"PC14vsPC25",0.25815326388999,1.9
"PC19vsPC25",0.282854435943109,1.4
"PC19vsPC27",0.321190452303988,1.3
"PC14vsPC18",0.332237814535854,2.4
"PC10vsPC14",0.342518368252687,3.9
"PC14vsPC26",0.351242178027598,1.9
"PC3vsPC9",0.384255937657464,13.4
"PC14vsPC28",0.388602177436701,1.7
"PC3vsPC25",0.426649923093934,11.1
"PC14vsPC15",0.434833756156192,2.6
"PC6vsPC14",0.439188367609379,5.3
"PC19vsPC26",0.447415521827778,1.4
"PC14vsPC22",0.453455215969163,2.1
"PC3vsPC14",0.47279291070161,12
"PC14vsPC24",0.473238280592963,1.9
"PC4vsPC14",0.476585089473366,8.6
"PC13vsPC14",0.477414278527654,2.9
"PC1vsPC19",0.48024265749551,29.5
"PC14vsPC17",0.480600467259636,2.5
"PC12vsPC14",0.484277054263107,3.3
"PC22vsPC25",0.497592505618957,1.2
"PC11vsPC19",0.514370137202497,3
"PC14vsPC27",0.515356629681687,1.8
"PC2vsPC19",0.528809426378024,15.5
"PC2vsPC14",0.536619089126989,16
"PC11vsPC14",0.53803658255239,3.5
"PC19vsPC24",0.541838087540207,1.4
"PC7vsPC14",0.553666381137829,4.9
"PC1vsPC14",0.559316844758414,30
"PC14vsPC16",0.585696684646914,2.6
"PC9vsPC19",0.588021405967226,3.7
"PC14vsPC23",0.598156506120591,2.1
"PC15vsPC19",0.61148668369944,2.1
"PC14vsPC21",0.617161844452689,2.2
"PC3vsPC12",0.617982771544651,12.5
"PC14vsPC20",0.622215644630819,2.2
"PC18vsPC19",0.624439826268828,1.9
"PC14vsPC29",0.625024749393909,1.7
"PC19vsPC22",0.634051627022637,1.6
"PC5vsPC14",0.638200358592399,6.6
"PC8vsPC14",0.647239892235973,4.5
"PC7vsPC19",0.650302572860235,4.4
"PC2vsPC25",0.651495813433332,15.1
"PC3vsPC26",0.653966927523706,11.1
"PC15vsPC25",0.673867850469691,1.7
"PC4vsPC19",0.677111595613435,8.1
"PC10vsPC19",0.680834525004174,3.4
"PC17vsPC19",0.69841232910746,2
"PC3vsPC18",0.709909609527765,11.6
"PC19vsPC23",0.72614575711925,1.6
"PC13vsPC19",0.736520006754217,2.4
