"","Comp 1","Comp 2"
"X8.436166407",-0.0478609910558383,0.0143986294548851
"X8.436666407",-0.0465352403287907,0.0164945666759238
"X8.437333094",-0.032013840927003,0.0266611189193881
"X8.437583094",-0.0467677147169302,0.0178152874563716
"X8.437833094",-0.0291873709831381,-0.00288518309411233
"X8.438249761",-0.0433364373888599,0.0184253388694879
"X8.442499741",-0.0473120811111633,0.00828273085770544
"X8.449999555",-0.0477237770666416,0.0142215090763535
"X8.585916742",-0.0496233023892076,0.00221059150678883
"X8.896167029",-0.0395904958745417,0.00936024263604094
"X9.17500017",0.0192356698453028,-0.0130715521945993
"X9.175417023",0.0316685641632648,-0.0170134517021264
"X9.1766664",-0.0266618077519721,-0.00191403013349582
"X9.176666957",0.00991511770363668,-0.0221731858120484
"X9.182166672",-0.0436152493636922,-0.0176412530993243
"X9.188416734",-0.042790256395707,-0.0182553761981256
"X9.189499975",-0.0466824782577093,-0.014990577021575
"X9.190333318",-0.0395318088006051,-0.0194692064672241
"X9.191083308",-0.0384983465365225,-0.0171139787163058
"X9.191083411",-0.0473769114287722,-0.01517215668268
"X9.191416827",-0.0444612369518783,-0.0184321622466823
"X9.191833504",-0.0421253189516184,-0.0183035041574752
"X9.19216692",-0.0474071627334336,-0.0149700040975729
"X9.192500336",-0.0430703534683055,-0.0179588671158947
"X9.192666711",-0.0439255828250216,-0.0164343450607449
"X9.192833087",-0.0463447190172519,-0.0157531979771291
"X9.193083252",-0.0315696358995317,0.000716191403930628
"X9.193333417",-0.0430215529007044,-0.0168947402700968
"X9.193583504",-0.0422855083275436,-0.017995164277396
"X9.193833202",-0.0418750792638394,-0.0166408071732974
"X9.19391692",-0.0434160315270797,-0.0154180074842197
"X9.194083295",-0.0431804913060835,-0.0169226616049308
"X9.194833318",-0.0445762591163792,-0.0199582187186247
"X9.195333504",-0.0443048346931069,-0.0161264306160135
"X9.196333318",-0.04099858454194,-0.0189877510383154
"X9.196666651",-0.0421586981860917,-0.0170921655620548
"X9.197999799",-0.0345936149982586,0.00152550739925158
"X9.204166466",-0.0440322778770862,-0.0179238055123448
"X9.204999985",-0.0388619685510903,-0.0200709074921934
"X9.205083318",-0.0468950293838112,-0.00711837286974045
"X9.205583132",-0.0377328531329062,-0.0182910940207494
"X9.206500005",-0.00832485345620395,-0.00907518099669537
"X10.16725019",-0.0225360552405667,0.043233879161509
"X10.17216657",-0.0302763731792355,0.045584390602346
"X10.1722499",-0.0498218404211263,0.021187644880543
"X10.17233324",-0.0391603185648493,0.03516985635539
"X10.17233333",-0.0419704546999163,0.0350551279649013
"X10.17241666",-0.033756265918614,0.0409135433295551
"X10.17250009",-0.0231682384862595,0.0531387873573692
"X10.17266639",-0.0477269547813818,0.0273224075645014
"X10.17266658",-0.0384649987177582,0.0391410887262893
"X10.17266659",-0.0497242733077237,0.0215918989599844
"X10.17266667",-0.0380674671070682,0.0357785848124182
"X10.17266668",-0.0355174464253442,0.0413780186820798
"X10.17266677",-0.0446921665232005,0.027146850604857
"X10.17266678",-0.0308069296642938,0.0435579650790362
"X10.17266687",-0.0451976491207449,0.0306119857673555
"X10.17266695",-0.0378276853050509,0.0401940381370081
"X10.17266696",-0.0179619538624673,0.0343739859408353
"X10.17274992",-0.0416631965935859,0.0365762261358817
"X10.17275002",-0.0349667940252143,0.0409990849813481
"X10.17283307",-0.0403313222515222,0.0369761757614851
"X10.17283326",-0.0319884652790476,0.0448048969222789
"X10.17291658",-0.0290496705815731,0.0501914582428324
"X10.17300009",-0.0368266244535411,0.0403918970909913
"X10.17300018",-0.035792577075614,0.0329336903062373
"X10.17308326",-0.044161465711398,0.0280110516058922
"X10.17316668",-0.0394615920879607,0.0370945188870157
"X10.17316694",-0.0407634221330472,0.0359760008040811
"X10.17350018",-0.039065366464769,0.0378690676725107
"X10.17383342",-0.0229920037190093,0.0425191252225803
"X10.1738336",-0.0364077488187925,0.0405237830478488
"X10.1755836",-0.0429133190706499,0.0337513132297109
"X10.17733377",-0.0334998761885819,0.043293579110508
"X10.17900003",-0.0346466739337493,0.0436914731684095
"X10.18083353",-0.0430024511496251,0.0322303152904011
"X10.18783344",-0.0433323230801405,0.0328660131344932
"X10.18841677",-0.0354957555786762,0.0423028885941241
"X10.18850027",-0.0439810475960625,0.0295360961781053
"X10.18866696",-0.0349337763001321,0.0413488973078303
"X10.18933313",-0.0414670071575432,0.0359365914574545
"X10.20399994",-0.033096134753611,0.0439453487240126
"X10.47549964",-0.0285595017112,-0.021753959827796
"X10.47700018",-0.028841290474993,-0.0214235444469879
"X10.4785003",-0.036756461149997,-0.0232147925608574
"X10.49258364",-0.0148128871856615,-0.0195895674570287
"X10.49283297",-0.0271351245843066,-0.0128762375351925
"X10.49333372",0.00702106771649659,0.0166238593461633
"X10.4937504",-0.00462403581087798,-0.0287753153493815
"X10.49616707",-0.0252025600754047,-0.0245920638144236
"X10.49683355",-0.0128501583919613,-0.00346883946563768
"X10.49783295",-0.0377227969783868,-0.0118078969869916
"X10.4981663",-0.0296472201560184,-0.0217090262738367
"X10.4991666",0.0205734134165223,-0.0190717124428532
"X10.49933295",-0.0410680494436538,-0.0173476835113422
"X10.5011663",-0.0392212741978315,-0.0141604077653503
"X10.50149964",0.0256185172728895,-0.0159300331367466
"X10.5065002",0.00423645986421335,-0.00400673347526186
"X10.50733353",0.00186369346160726,0.00460529866386644
"X10.50741688",-0.0426510927178785,-0.0156787942923671
"X10.50816687",-0.04076037406258,-0.0174724767416099
"X10.97316683",-0.041489282283621,-0.0206326838503545
"X10.97774998",-0.0451238845151911,-0.0221422225019437
"X11.00141646",-0.0421577350021468,-0.0166743341945223
"X11.00516665",-0.0471340291860533,-0.00682312852191551
"X11.00591656",-0.0419628840827163,-0.0141197443459134
"X11.00733313",-0.0405636864526484,-0.0213617876322194
"X11.0086663",-0.0342230055954491,-0.0144865286942614
"X11.00966665",-0.0308042985812638,-0.0125774914429272
"X11.0097498",-0.0345586358008174,-0.0114092456397863
"X11.01008341",-0.0335445612551821,-0.0125701847018509
"X11.0144998",-0.0185322400168219,-0.0146011758934605
"X11.01483334",-0.037043470291327,-0.00578593705869389
"X11.01583313",-0.0308464584493291,-0.00516007054302659
"X11.0167497",-0.0015343043902319,2.98115436514004e-05
"X11.01749982",-0.0306208834067866,-0.00848528420808116
"X11.01916681",0.00450403564622586,-0.00107119137785227
"X11.01949991",-0.0212831858752524,0.00705325362015684
"X11.0345",-0.0265578881458342,-0.0130090616131327
"X11.04091675",-0.0420655672915781,-0.0191079465105477
"X11.31400028",-0.0308855408290958,0.00377208194222773
"X11.70458354",-0.0242652835076358,0.00381505004833065
"X11.87899969",-0.0305216818895355,-0.00759930734189433
"X11.88049999",-0.0312023452060171,-0.00740059789568619
"X11.88199952",-0.0385190940152414,-0.00436500997659115
"X11.88399971",-0.0307089480706495,-0.00757296562735818
"X11.885833",-0.0243057255575486,-0.0108154204093584
"X11.89033293",-0.032534817331176,-0.00656367734502077
"X11.89083302",-0.0417020889368028,-0.00630005551416913
"X11.89283294",-0.0313932407600122,-0.00775391764200859
"X11.89483286",0.0238669096799918,-0.0073548522509903
"X11.89483323",-0.0301808607753404,-0.00702120277083308
"X11.89483331",-0.0301841988017731,-0.00809614367957171
"X11.89483351",-0.0411650559873611,-0.00324255161508335
"X11.89483361",0.0199559841179522,0.00197888873160564
"X11.89483369",-0.0176638505099083,-0.00697646130822693
"X11.89483377",-0.0236397399902076,-0.00629973814623891
"X11.89491656",-0.022580884810988,-0.00708019501845292
"X11.89491665",-0.0274235531915847,-0.00899768862639781
"X11.89491703",-0.0292111892724962,-0.00532077791648904
"X11.89499952",-0.0352797926343516,-0.00704423614990684
"X11.89499969",-0.031562744051366,-0.00982059087549568
"X11.89499991",-0.0326722107574133,-0.00863199187942635
"X11.89499999",0.0117430966667738,-0.00247969930768019
"X11.89500029",-0.0263676150320497,-0.00972218149844909
"X11.89500036",-0.0131451168582774,-0.00376525634357021
"X11.89500038",-0.00253504001282436,0.00155917180047058
"X11.89500044",-0.0322020780263984,-0.00704914661547308
"X12.84099963",-0.0185115235833613,0.037295793041083
"X12.84433313",-0.0338838695868294,0.0464570253646823
"X12.84450038",-0.0294118172428854,0.0424287126926652
