"","Comp 1","Comp 2"
"X8.436166407",-0.0507793115905224,0.0251807939185161
"X8.436666407",-0.0449997958242761,0.0247014583257923
"X8.437333094",-0.0142371675496779,0.0139306619313109
"X8.437583094",-0.019302777160187,0.0105976854094528
"X8.437833094",-0.0147017949382835,0.00329699963796024
"X8.438249761",-0.0162760685892506,0.0106162893117659
"X8.442499741",-0.0189895706181263,0.00698384551828722
"X8.449999555",-0.0142009056585832,0.00696341291824698
"X8.585916742",-0.0438845146170058,0.00891612349582246
"X8.896167029",-0.0139767660171761,0.00470406852847954
"X9.17500017",0.0814916254365179,-0.0728093520739681
"X9.175417023",0.139777991121886,-0.0963945078176356
"X9.1766664",-0.0152022504699363,0.00212382415836076
"X9.176666957",0.022433479739657,-0.0672436049012404
"X9.182166672",-0.0780801717389793,-0.014209954482049
"X9.188416734",-0.044763922876871,-0.00888027901101986
"X9.189499975",-0.0356368439783376,-0.00350002223638245
"X9.190333318",-0.0625136561469004,-0.0151839455519954
"X9.191083308",-0.00926877903642664,-0.00207043228259977
"X9.191083411",-0.096301122620035,-0.0111322015278049
"X9.191416827",-0.0221393366813111,-0.00422411681191063
"X9.191833504",-0.0888812153662917,-0.0179978553330864
"X9.19216692",-0.0739987625651144,-0.00810859786545516
"X9.192500336",-0.0393146735103976,-0.00730466825934318
"X9.192666711",-0.0796832908759179,-0.012224986204509
"X9.192833087",-0.0871282242904187,-0.0113897204853289
"X9.193083252",-0.0716269552282227,0.0160144373906015
"X9.193333417",-0.119877724853503,-0.0194330592010546
"X9.193583504",-0.011800309290204,-0.00201905507334414
"X9.193833202",-0.0171604165715476,-0.00276765853127977
"X9.19391692",-0.0355864933588716,-0.00394085860666169
"X9.194083295",-0.105587152189171,-0.0159536947158189
"X9.194833318",-0.0130102204330101,-0.00296546575878445
"X9.195333504",-0.0258662321914225,-0.00369741366951575
"X9.196333318",-0.0269379137251728,-0.00586716807562023
"X9.196666651",-0.0103135946776821,-0.00178517602874173
"X9.197999799",-0.0127134105807278,0.00257772216529617
"X9.204166466",-0.01278145544512,-0.00207280430917114
"X9.204999985",-0.0136770987720325,-0.00352389456636628
"X9.205083318",-0.0149025616811049,0.000648823710785781
"X9.205583132",-0.00797330837282568,-0.00154142904582066
"X9.206500005",-0.00675791406038908,-0.002731863507053
"X10.16725019",-0.00616020730113501,0.0129104152126597
"X10.17216657",-0.0130682705413491,0.023597189694025
"X10.1722499",-0.0276857510700519,0.014284587518518
"X10.17233324",-0.0196387634310285,0.0192493409637077
"X10.17233333",-0.0154444071276374,0.0145038119590692
"X10.17241666",-0.0162130184683106,0.0216526329365174
"X10.17250009",-0.00536633821183066,0.0158186321646167
"X10.17266639",-0.00933104576329841,0.00607762430887669
"X10.17266658",-0.0189806683410535,0.0217317625732172
"X10.17266659",-0.0233861527417916,0.0122843216683767
"X10.17266667",-0.00867975570458036,0.00911098412378602
"X10.17266668",-0.0384506179020794,0.0499111959892679
"X10.17266677",-0.0174674463730199,0.01207463537117
"X10.17266678",-0.0230149633428273,0.0360830440643488
"X10.17266687",-0.0173858125351743,0.0134416736437488
"X10.17266695",-0.0347395927545827,0.0422071606149194
"X10.17266696",-0.0326056193818453,0.0846614254887137
"X10.17274992",-0.00760549979891739,0.00760014095409309
"X10.17275002",-0.0331369234289442,0.0420819230488743
"X10.17283307",-0.0347727495038421,0.0360824305191069
"X10.17283326",-0.0114673901368379,0.0191304737765244
"X10.17291658",-0.00595192444413692,0.0121665366050718
"X10.17300009",-0.0151027067033768,0.0188597529707238
"X10.17300018",-0.00937031646897845,0.00961575738485586
"X10.17308326",-0.0182400720453368,0.0131758747348395
"X10.17316668",-0.0297162147740501,0.0335117270102704
"X10.17316694",-0.077576379353658,0.0772527231786797
"X10.17350018",-0.00978432470602627,0.0104012660737819
"X10.17383342",-0.0119495864354475,0.0249617803146713
"X10.1738336",-0.028783939526844,0.0385777593580645
"X10.1755836",-0.0312700714498317,0.0290732465187207
"X10.17733377",-0.0140880357530855,0.0221052687479699
"X10.17900003",-0.00529089161289742,0.00768045938606098
"X10.18083353",-0.00733184797464507,0.00630183701552567
"X10.18783344",-0.0400448131172158,0.0346350745407936
"X10.18841677",-0.019113297690015,0.0262548183559343
"X10.18850027",-0.0165258509475119,0.0122642809489641
"X10.18866696",-0.0116515753972182,0.0152577072532045
"X10.18933313",-0.0665782735783819,0.0686591449314082
"X10.20399994",-0.00733348206720542,0.0107307325236738
"X10.47549964",-0.011252106394069,-0.00649131167171951
"X10.47700018",-0.0292091764672437,-0.0154943876378219
"X10.4785003",-0.0132429030442638,-0.00621782458641503
"X10.49258364",-0.0104502099281427,-0.0151139645149201
"X10.49283297",-0.00682612090595091,-0.002155039247464
"X10.49333372",0.0357331021867341,0.0501320025839658
