	name	fold	log2fold	tstat	pvalue	qvalue	updown	mzmed	mzmin	mzmax	rtmed	rtmin	rtmax	npeaks	pip031116_control	pip031116_pest	maxint	mean1	sd1	mean2	sd2	mns13pip3p_again	mns1pip3p	mns20pip2p2	mns20pip4p	mns22pip2p	mns24pip4p	mns26pip1p	mns27pip1p	mns28pip1p2	mns2pip1p2	mns31pip3p2	mns32pip3p	mns34pip3p	mns4pip1p	mns9pip4p	mnsC50pip2p	mnsC51pip4p2	mnsC52pip2p2	mnsC53pip2p2	mnsJ1pip4p	mns12pip4p	mns15pip2p	mns15pip4p2	mns18pip2p	mns23pip2p	mns23pip4p	mns24pip2p	mns25pip3p	mns26pip3p2	mns30pip1p	mns30pip3p2	mns32pip1p	mns34pip1p	mns35pip1p2	mns3pip3p	mns41pip4p	mns4pip3p2	mns6pip1p	mns9pip2p	mnsC52pip4p
1	M321T17	2.103753664	-1.072965784	-2.777036328	0.009675095	0.999774321	DOWN	320.5480981	320.41597	320.6372135	16.8685005	16.84783307	16.88916642	35	20	15	10015.07813	10709.88231	8089.761464	5089.337323	4059.819288	16394.73053	2825.24613	4348.976859	7256.039735	17524.5241	14628.23001	29793.7724	4309.555119	9639.554925	6185.311237	5245.194271	7242.781936	14636.79487	13457.90727	30252.85668	8665.557679	3541.09859	1926.1005	5377.772727	10945.64052	11325.90247	0	3119.3927	0	4115.475575	5943.994257	5356.123916	16959.91655	6113.947047	5871.225064	6427.033964	7060.061742	3300.404301	4802.273567	7226.368065	2869.34607	4347.007934	6948.273245	0	0
2	M322T17	2.261673777	-1.177390851	-2.743057688	0.009967703	0.999774321	DOWN	321.5380315	321.419597	321.6305338	16.8685005	16.84783307	16.88916642	30	19	11	2823.169922	3036.555927	2360.530764	1340.897344	1438.895673	4723.213233	736.0628486	1230.105968	2059.384379	5126.807623	4260.570763	8584.745683	1208.864409	2818.176178	1762.025409	1488.23449	1972.157277	4190.056891	3803.302423	8586.476052	2597.574598	1069.742603	0	1513.712209	2999.905506	3421.038535	0	0	0	758.6057213	1729.295826	1633.216556	4912.2848	1737.926385	1722.904864	184.9797249	0	71.38422269	1379.364159	1959.298174	3973.627681	1300.887114	1994.391128	38.74197878	0
3	M266T24	7.610392638	-2.927970888	-2.821578713	0.010596528	0.999774321	DOWN	266.2693278	266.1691138	266.3272195	24.05608364	24.0313342	24.07850086	22	15	7	6467.269531	4891.633486	6661.313867	642.7570453	989.2560925	16425.79436	2518.845199	155.6438436	1657.225754	5225.051961	7163.833293	8838.448347	1549.077614	2398.949506	1979.408945	2402.274812	1949.222692	2277.249269	6096.30308	28138.93581	4825.619245	735.1487079	396.8984206	709.8637565	2388.875098	836.6267543	21.82522151	116.0413689	4206.460276	8.495786097	220.9215253	263.4590474	613.4693233	67.63199117	696.9175136	53.56723495	856.1012668	159.5906916	213.4647324	163.7094598	761.0708815	87.47769796	1274.326917	136.2230137	2097.760202
4	M222T24	9.433935834	-3.237859788	-2.8089128	0.010896009	0.999774321	DOWN	222.06317	221.986695	222.1263147	24.05716755	24.04633308	24.07850086	13	12	1	2810.214844	2109.575652	2969.970521	223.6156456	442.0059634	7372.361664	884.4105697	249.2460985	519.8424082	2357.202329	3214.508267	3727.087147	550.658659	1090.096018	830.9842401	802.1053474	761.0892587	997.3967067	2560.052615	12439.64355	2130.746121	306.4685818	165.9086555	273.1556238	958.5491741	455.0670472	7.535923204	108.3540455	1992.422994	42.17389157	40.64079864	175.4128298	142.0050669	48.92921456	202.2891548	36.84641495	340.7212448	26.51929925	29.1052308	91.72732506	99.2191321	61.27912766	532.4990933	34.47370569	5.091371836
5	M282T28	2.211327771	-1.144912883	-2.717295544	0.011205777	0.999774321	DOWN	282.3961923	282.2962053	282.475944	27.95816726	27.92666722	27.99900055	27	16	11	2705.197266	3727.017369	3014.783839	1683.913638	1489.231285	6274.846709	729.7209994	1653.942545	2500.096663	6154.28187	5184.992144	10850.38117	1441.722034	4272.108651	1236.833159	2379.12676	2481.994732	5679.867383	4864.985319	10133.81396	372.2656845	1358.897241	264.4387782	2286.03385	4419.997718	5085.864233	0	20.97421483	0	1305.798562	2145.682594	2140.096036	681.6521996	39.24012602	2357.674186	2717.507572	2940.177963	1195.331725	1773.545332	2693.315951	4315.195707	1637.93041	2628.285953	0	0
6	M356T28	2.059381124	-1.042210851	-2.628089432	0.013252291	0.999774321	DOWN	355.6692987	355.5369581	355.7690062	27.95816689	27.8131668	28.32649953	29	17	12	3343.535156	4890.337732	3684.215012	2373.156807	2184.978461	7578.127742	1017.044398	2309.268395	3540.501526	7505.115339	6426.536315	13508.03603	1809.742971	5472.646727	3787.493757	3345.073343	3588.450308	7570.759114	6514.247264	12511.43731	4313.051541	126.5872761	358.8180344	830.1188208	5693.698429	6417.714568	0	1138.607279	544.8114345	5.93056153	2813.767755	254.9499289	6890.756051	3915.580991	3080.778146	0	3975.346564	1550.886455	2535.538331	3617.356133	5099.332191	2198.683947	3423.095804	0	0
7	M392T28	2.445160565	-1.289929205	-2.655281967	0.013868341	0.999774321	DOWN	391.9180377	391.7782044	391.9876723	27.68433382	27.24416663	27.74883384	49	19	14	7674.695313	7305.372683	6836.824881	2985.802588	2487.236653	1652.260156	2738.196442	3224.899688	5356.705371	12310.7657	10437.18731	32849.45833	3582.412826	8338.810458	5162.954891	4913.808573	6092.588146	10505.84088	10702.40472	2331.418831	6232.773027	3011.762043	2205.952162	5150.026348	9307.227761	7552.296211	0	2078.598418	1481.276951	3331.882344	4794.123218	0	0	4627.414516	2515.815282	4795.731118	5666.302142	2603.310769	5592.233703	6503.027671	0	3173.478122	4994.491803	6.069488525	0
8	M280T28	2.005173038	-1.003726741	-2.600082087	0.014236321	0.999774321	DOWN	280.3646828	280.2879498	280.4719403	27.95816689	27.92666722	27.99900055	21	14	7	27817.14063	39679.45758	29591.37769	19787.03838	17175.88959	61781.21957	8259.369656	16497.9238	27611.42192	61930.5471	52650.27612	109248.8411	15176.90492	43073.89693	29658.30856	13322.60919	29100.30562	58870.51016	50504.03433	103118.8325	37298.82479	156.2782188	6557.267517	23766.50227	45005.27732	50173.8246	0	7450.396465	0	3055.702265	23111.55435	22759.84525	56705.7446	2213.003274	24253.28887	28542.08182	30882.36282	12619.8914	18812.67253	27906.25062	44037.30414	16166.15354	27050.69113	0	0
9	M202T28	2.026379866	-1.018904647	-2.549319363	0.016664762	0.999774321	DOWN	201.9753196	201.9078313	202.0365354	27.71666639	27.66199972	27.99016575	33	18	13	9133.734375	11718.57184	9363.116925	5782.631686	4556.841749	12070.51173	3503.509412	4660.451281	6733.081884	17762.41044	16099.49685	37660.96974	4719.622548	10567.47412	8040.031985	5584.271781	8159.899212	15081.36686	14442.1784	33688.37472	10145.24593	3353.509176	2912.264382	6422.305122	12764.46117	11407.43686	210.9058862	3444.078535	27.20479077	4019.035907	7454.521135	4546.110518	18225.39564	7038.832921	5112.455533	5452.899503	7024.120348	3943.470974	7039.830214	9134.395592	12096.22107	3603.790667	5840.180734	31.74689389	0
10	M203T32	2.332774516	-1.222046865	-2.537041159	0.017503716	0.999774321	DOWN	202.9849054	202.921558	203.0385081	32.33599854	32.03016663	32.38399856	33	17	15	10981.64063	9998.587176	9221.10159	4285.381811	4048.933481	15412.57982	1507.031895	2408.026121	4982.147411	15352.63662	12501.55486	31509.0829	2611.215875	8486.107115	4240.708249	3741.070022	4393.166133	16081.3753	15398.10024	32918.40138	8244.472471	2442.819016	1003.335516	4170.288304	12567.62427	13155.13718	216.7523934	1651.549713	0	3176.894071	3510.98388	3563.592027	13861.96576	4462.904349	3774.159394	4866.031004	5700.683425	1819.530611	3360.491026	4378.636614	11228.66868	2503.039471	4381.437069	0	95.17954278
11	M393T28	2.141490677	-1.098615397	-2.534962581	0.017881709	0.999774321	DOWN	392.8600977	392.7885872	392.9761022	27.69916755	27.26600075	27.76483347	41	18	12	3069.607422	3012.590956	2628.346893	1406.772856	1057.086082	1815.180294	858.388198	1412.356638	2053.141491	4788.150472	4208.162488	13001.4832	1416.897416	3023.74019	2254.262041	1980.148734	2599.227734	4102.228775	4140.220504	1937.788765	2480.660776	1208.285255	926.6800809	2162.6642	3882.151863	3109.04635	94.88713432	473.4153469	939.0600479	1336.999303	2097.503654	1371.510813	4192.618558	862.066336	1369.057413	199.4772549	2161.018087	467.7144188	2145.280861	2365.155694	785.3401664	1138.299875	1908.370064	78.78365033	1039.852087
12	M394T30	2.312146657	-1.209232909	-2.482414032	0.018965285	0.999774321	DOWN	393.8110885	393.6539139	393.8996791	30.42049984	30.39950021	30.43399984	23	14	9	2948.919922	2930.017103	2627.267176	1265.293495	1446.283331	7123.920348	827.4063827	0	1565.67597	4146.647963	1335.929233	6536.36087	932.325194	5311.465504	2675.926461	1714.524234	1898.909477	4764.490311	5910.167372	8825.029072	578.282538	1112.318267	0	719.8652914	2621.097581	4067.646451	0	90.52457633	0	1679.754382	787.9254913	2740.439666	523.9217932	54.05459747	3478.231792	0	3566.853271	2626.097462	57.39818611	1353.22	0	1343.415602	2936.386624	0	0
13	M231T20	1.731027211	-0.791628403	-2.469686259	0.019409189	0.999774321	DOWN	231.1139795	231.0431507	231.1804932	19.89416736	19.82916657	20.18616668	54	20	17	4407.214844	8789.044175	5844.027342	5076.604128	3322.609781	1140.697163	3007.276408	5217.959565	6860.943488	14208.07595	13061.73569	18365.82964	3731.629315	10036.73229	6336.656194	6246.73643	6289.13838	12779.81672	12683.84716	24471.51081	8942.568417	4696.35311	1538.08647	6092.325786	10072.9645	10323.40212	0	4057.683908	871.6041525	3533.828726	5765.016641	7628.124097	12112.65798	6529.501722	5589.689869	8555.177619	7512.434831	4258.751304	4544.141769	6309.470595	1513.018084	4309.994621	6783.923685	1333.660837	0
14	M357T28	1.797265921	-0.845803884	-2.407210166	0.021409124	0.999774321	DOWN	356.6719033	356.550404	356.7746209	27.65399974	27.47599969	27.99900055	45	18	15	4625.867188	9959.73845	6534.281259	5540.475135	4970.881412	13082.22317	4443.558706	139.3235387	6818.386529	14298.25449	14787.47483	25954.41796	4758.403835	12082.2236	7342.897348	5018.03643	10716.13806	11105.12118	14753.4913	17073.70974	15779.00551	115.2421741	1871.656434	5532.28301	13522.92115	11694.19428	0	2550.01102	84.54467008	8055.631762	6979.815333	5456.736317	18442.75514	1542.177726	6969.260241	34.83405425	9977.32925	3017.115474	5212.840944	9797.608009	10826.3546	3509.235985	6659.057892	0	0
15	M231T22	1.727891187	-0.789012368	-2.419037703	0.021434948	0.999774321	DOWN	231.1106425	231.0298365	231.1758128	21.95433277	21.85816761	21.97133278	34	18	15	2646.410156	5639.101102	3723.000182	3262.067245	2334.683084	9806.040017	917.5990438	2593.87609	4475.897089	8266.387242	7887.086281	12539.62476	1462.405615	6724.996264	3918.283396	3977.574028	3912.971934	7334.040944	7961.048957	14333.72707	4777.973928	3137.496143	304.0821398	3031.040932	5419.870175	6435.58151	0	2070.344126	0	1854.767273	2236.770804	4055.267478	7282.09841	4016.756694	3414.498093	5315.590182	4950.259848	2941.868826	2369.544454	3536.40297	7471.304903	2411.941171	4878.348162	0	0
16	M230T28	1.980599022	-0.985936832	-2.337629729	0.026941338	0.999774321	DOWN	230.1171642	230.0369758	230.1924668	27.71599975	27.65883419	27.74883272	30	18	12	50442.0625	60543.31386	51622.94497	30567.99673	24972.66987	88842.96372	19890.09457	25980.75283	37055.35461	92110.98681	84793.86319	200548.2022	30025.30373	58678.63361	35105.72425	28540.54424	36275.24475	77773.46837	74555.37317	175969.6587	55728.12843	341.3218578	0	30229.58329	58421.07485	62209.31409	46.03604969	42.8912196	0	22565.10794	38618.55432	33588.14559	96702.20415	35330.87789	31090.41554	27693.9952	38492.58888	21182.61566	32624.44657	45514.45418	65418.33753	1243.691756	37192.05128	20.26662206	21783.9402
17	M327T31	2.277247877	-1.187291336	-2.337684748	0.027500654	0.999774321	DOWN	326.6120964	326.5292292	326.6960284	31.33774992	31.32566605	31.35549938	24	14	10	1850.9375	1804.77256	1783.423488	792.3122421	755.6321585	0	205.9501292	863.455374	785.8893149	2201.676569	2294.878237	2762.691574	294.2111315	5243.777351	1338.027942	867.3725097	1297.874543	2421.960391	2653.582059	6535.459005	1947.753164	423.0800801	31.04481908	51.62986102	3875.137156	2594.959998	0	294.4720286	89.94054237	645.9272785	632.2246001	655.9823725	1831.467687	1606.842455	1115.639504	93.34685596	2095.859795	417.872673	151.5093829	907.1997109	1288.68004	358.4657457	964.6111275	37.54365073	63.69939418
