rtmed,mns13pip3p_again,mns1pip3p,mns20pip2p2,mns20pip4p,mns22pip2p,mns24pip4p,mns26pip1p,mns27pip1p,mns28pip1p2,mns2pip1p2,mns31pip3p2,mns32pip3p,mns34pip3p,mns4pip1p,mns9pip4p,mnsC50pip2p,mnsC51pip4p2,mnsC52pip2p2,mnsC53pip2p2,mnsJ1pip4p,mns12pip4p,mns15pip2p,mns15pip4p2,mns18pip2p,mns23pip2p,mns23pip4p,mns24pip2p,mns25pip3p,mns26pip3p2,mns30pip1p,mns30pip3p2,mns32pip1p,mns34pip1p,mns35pip1p2,mns3pip3p,mns41pip4p,mns4pip3p2,mns6pip1p,mns9pip2p,mnsC52pip4p
8.43441651,4849.978018,705.8651781,2691.593604,1550.595934,5164.324155,6671.930398,6462.10015,1208.186754,4263.638077,2403.226969,1645.393294,2076.468473,3246.720529,6850.287089,9215.955719,5655.772643,1259.44993,653.4798039,1639.528278,4289.384262,6199.991881,4674.893832,2014.996472,11420.5559,225.3938243,1707.065836,5462.465617,3501.174322,1779.933293,2360.214625,3159.23412,3211.400879,2670.899413,914.5257814,1506.774251,4873.512007,954.0244334,1886.397142,8644.87982,8338.178063
8.436166407,28493.32184,2203.732065,6538.406968,5862.555127,27572.11522,35475.64689,34720.10539,4363.704962,14493.01138,6676.877943,4322.374536,7068.348484,13480.83768,32997.55156,54168.44809,31469.22429,3555.208468,2056.273849,4270.634026,18161.55399,32427.25358,32505.25005,5429.327955,70059.16061,106.047205,5796.476463,25498.56001,19579.99175,5089.046331,9776.302713,8805.426274,16325.83015,9575.856138,3036.723535,5269.682254,29596.54071,3230.97314,7656.639174,52564.44654,51975.41197
8.436666407,26290.42715,2339.54467,7433.640842,5889.280655,25071.67367,31892.99644,30211.38774,4181.665013,14675.4465,7391.803068,4187.478606,7426.989782,12668.91411,29848.4071,49882.9138,28390.2937,3583.338005,2284.296955,4536.931958,16725.83469,29126.97404,24363.04459,5998.826473,63498.9628,857.6170023,5648.329701,23694.11825,17520.84319,5013.771741,9280.138947,9401.418346,15009.2124,8922.423262,2803.89397,5005.257467,25572.60427,3250.970062,7539.117415,46284.1652,44688.06231
8.437333094,6189.895452,584.461973,2363.050186,1627.513112,103.5278989,8254.043751,7816.476275,1201.074033,3629.766613,2269.435062,1335.371326,2106.238315,3443.374863,8432.030024,11891.88241,17.45783545,1100.598535,678.6051335,1387.67915,4705.838806,7801.039131,14.93082068,1921.24269,15122.38807,0,1624.611282,6358.473679,4301.342084,1585.431836,2522.279523,2804.994147,3971.016148,2777.219645,677.1147546,1337.896935,6182.831903,985.4933806,2073.542572,10849.0731,11143.31199
8.437583094,4369.042207,340.5233765,903.2253708,869.4219751,4284.673317,5510.07975,5322.117023,685.256219,2008.748836,1104.135364,679.5438916,1096.687418,1862.035087,5193.253059,8388.38692,1504.42064,441.9029679,302.7867496,620.6035126,2808.006544,5051.071317,4764.813183,763.4645479,11036.01138,9.372730428,803.797361,4010.859231,2767.896485,718.4002938,1496.223717,1105.918779,2493.346383,1332.104285,371.6158047,756.2182142,4363.315044,461.952965,1193.323281,8275.024833,7048.391226
8.437833094,7462.657255,649.4599069,2522.34368,1795.34586,7961.306881,10493.56265,1138.609519,1412.471222,2970.316608,2620.97057,1614.69192,2506.78265,4393.250131,10483.53104,14808.19991,9195.599507,1119.783512,614.1523815,1607.28144,6210.989783,9665.038559,6948.790596,2260.619138,0,0,1872.824512,8159.260135,5326.026557,1860.471604,3279.198949,3394.781101,5207.99477,3242.06492,914.7783914,1601.87338,7725.401523,1136.683837,2502.104149,13797.8074,13574.94178
8.438249761,3826.331217,419.0018215,1373.248383,1107.63219,4124.550523,5380.386506,5129.755232,775.9354813,2753.094743,1455.665722,795.7274967,1377.63271,2200.879171,5300.155252,7469.788141,4969.997375,435.3662294,331.4627276,898.6949611,3145.514199,4931.171878,3802.385156,1062.539352,9647.998354,42.71469727,924.5616061,4218.13588,2991.072863,960.0878637,1729.111858,1472.947209,2642.148272,1720.915852,436.9809055,944.9709286,4235.419719,612.0533808,1323.999785,6872.967864,6734.586646
8.442499741,3009.57691,110.1656111,0,371.6122858,3143.775718,4033.887129,3838.22518,448.1767187,160.3407119,158.8088104,80.13792625,68.38100745,1339.839832,3835.750587,6155.138256,3589.850829,0,0,0,59.85767909,3757.042398,2899.712998,18.06008213,7640.703922,0,505.5240543,2917.811187,2228.719904,151.8527159,1079.66432,39.45377848,0,423.8573174,0,595.2143945,3196.423604,0,864.7641507,5708.495719,5733.768493
8.449999555,2603.349944,160.1296813,528.2683774,439.6402104,2175.079289,2833.678554,2528.309716,397.0912492,1057.854545,616.7705982,339.7457598,635.9868229,912.5774435,2581.328402,4043.565724,2541.52751,172.7088058,144.6426827,356.6585611,1352.961064,2365.899478,2275.204487,485.9716742,5690.434702,70.04702125,461.1743173,1993.245845,1557.314948,414.3505447,778.3165268,703.2024014,1293.565577,582.387819,159.5719288,405.9026945,2289.405445,15.33117155,555.8656295,4230.265403,3977.03558
8.585916742,28510.65969,2432.124956,3808.743605,3296.898565,20661.59795,19139.71949,15960.8497,3513.200146,7917.91323,3317.283078,3151.475783,3384.932619,9682.42593,13307.95777,33661.98213,16463.49068,2514.664724,984.8250636,2284.061199,6518.089414,17533.02249,23962.55101,2790.322602,37849.26879,6246.341575,3650.735598,15187.25219,13717.22916,3425.559026,6113.206564,4829.472589,5947.421675,5651.343276,1879.752501,3150.134997,42.58546215,2564.899795,6611.239248,31852.70178,38157.7977
8.896167029,1136.425733,794.5541531,526.6402503,741.4729967,3547.43046,3017.042843,2463.134522,817.724059,756.9071513,718.2291295,764.9121263,641.8058621,1493.113513,2305.160681,7902.299201,5044.849864,424.5301215,234.619894,635.6694825,1236.334467,2926.748239,1236.181521,528.6013952,7455.1347,1362.519844,1024.929056,1101.79703,3043.382203,692.9531828,2007.362794,640.1391963,1554.816565,688.3260483,257.5666587,1147.17082,2968.539609,481.4685654,1386.460794,4721.839938,5767.974259
9.17500017,394081.7209,221539.1218,549329.3351,269027.0512,439701.4315,416016.4299,391283.8348,220095.0081,648677.2646,258641.5542,476306.5778,296266.6957,556582.9611,477734.1745,421157.4454,380126.9539,337999.1864,95559.43051,195317.7878,450847.4955,454713.8714,166512.1459,505478.5863,320523.1556,429564.3161,260754.239,369214.1066,322470.7757,382499.3671,402244.3501,500845.4395,363577.4942,526300.4985,57145.19251,280803.0628,318518.9461,202545.6453,547598.058,601353.6964,273967.6455
9.175417023,282461.0285,254253.4519,604223.2881,330130.3389,265493.5719,436563.9522,233289.7841,270499.8035,601647.3216,288870.6338,521099.2525,324928.758,535539.2001,479914.9917,310710.0083,387283.5056,393981.9144,112892.0512,225683.4193,549864.6984,532296.8882,193829.4793,555330.5608,323372.845,327023.8473,291294.6228,441848.0582,335944.0924,424596.8172,479499.2156,585597.8034,402553.1232,584352.1858,75886.08779,314282.7465,332331.4652,252618.7136,592590.7089,244211.6137,272211.1474
