Query,Match
adenosine,Adenosine
alanine,L-Alanine
altrose,NA
asparagine,L-Asparagine
aminomalonic acid,Aminomalonic acid
butanedioic acid,Succinic acid
creatinine enol,NA
cysteine,L-Cysteine
glucose,D-Glucose
galactofuranose,NA
gluconic acid,Gluconic acid
glucose 6 phosphate,NA
galactose,D-Galactose
glutamic acid,L-Glutamic acid
glutamine,L-Glutamine
glycerol phosphate,NA
glycine,Glycine
histidine,L-Histidine
hypoxanthine,Hypoxanthine
inositol,myo-Inositol
l-aspartic acid,L-Aspartic acid
l-lysine,L-Lysine
l-phenylalanine,L-Phenylalanine
l-proline,L-Proline
valine,L-Valine
myo inositol,myo-Inositol
ornithine,Ornithine
phenylalanaine,NA
phosphate,Phosphate
phosphoric acid,Phosphoric acid
pyroglutamic acid,Pyroglutamic acid
ribose,D-Ribose
ribose 6 phosphate,NA
ribose 5 phosphate,NA
serine,L-Serine
threonine,L-Threonine
tryptophan,L-Tryptophan
tyrosine,L-Tyrosine
