RT,ranked_feature,direction,metabolite id
,,,
,,,
,,,
,,,
,,,
,,,
,,,
X11.01949991,42,up,
,,,
,,,
,,,
X14.25016646,14,up,phosphate
X14.28925006,3,up,phosphate
X14.29666693,13,up,phosphate
X14.34158344,31,down,
,,,
,,,
X14.36058362,43,down,
X14.36650012,71,down,
,,,
X14.8081665,44,down,l-proline
X14.86516692,73,up,proline
X15.04966658,7,up,glycine
X15.06583324,41,up,glycine
,,,
X16.29983289,49,up,serine
X16.30224996,59,up,serine
X16.3048329,75,up,serine
,,,
,,,
,,,
,,,
,,,
,,,
,,,
X18.71433327,66,up,aminomalonic acid
,,,
,,,
,,,
X19.86216679,27,up,l-aspartic acid
X19.86216736,22,up,aspartic acid
,,,
X19.87783403,64,down,pyroglutamic acid
,,,
,,,
X20.52183367,26,up,creatinine enol
X20.56808271,34,up,cysteine
,,,
,,,
,,,
,,,
,,,
,,,
,,,
X21.95399966,63,up,glutamine
X21.95449925,33,up,glutamic acid
,,,
X22.03491615,24,up,l-phenylalanine
X22.0349991,17,up,phenylalanaine
,,,
,,,
,,,
,,,
,,,
X23.0650835,74,up,
,,,
X23.09750055,53,up,
X23.6482498,8,up,l-proline (NOT PROLINE)
X23.96650027,4,up,
,,,
,,,
X24.75533384,36,up,glycerol phosphate
,,,
,,,
,,,
X24.77816585,61,up,glycerol phosphate
,,,
,,,
,,,
X25.56816593,19,up,hypoxanthine
,,,
,,,
X25.75141713,65,up,ornithine
X25.75300065,35,up,ornithine
X25.86566736,29,up,ornithine
,,,
,,,
,,,
,,,
,,,
,,,
X27.21766663,23,down,d-glucose
X27.25216739,15,down,glucose and galactose isomers.  May be a hard story to tease out bc of the mix of up and down . 
X27.25699996,16,up,
X27.26049998,18,up,
X27.28199959,21,up,
X27.29383371,57,down,
X27.29750077,28,down,
X27.29783409,38,down,
X27.2981663,37,up,
X27.29849941,25,down,
X27.29924997,68,down,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
X27.71766622,40,down,l-lysine
,,,
X27.73208383,32,down,tyrosine
,,,
,,,
X28.56783371,9,down,disaccharide
X28.90725013,60,up,disaccharide
,,,
,,,
X29.37399916,12,up,myo inositol
,,,
,,,
X29.77425021,2,up,glucose 6 phosphate
,,,
,,,
,,,
,,,
,,,
,,,
X32.04233387,46,up,
,,,
,,,
X32.84816708,52,down,
,,,
,,,
,,,
,,,
X32.86691651,5,up,adenosine-tetrakis
X32.86700062,56,down,
,,,
X33.55933378,45,up,
X33.5913315,11,down,d-glucose
X33.59766486,39,up,
X33.60749933,20,down,
,,,
X33.70233308,70,up,
,,,
,,,
X34.82341619,72,up,
,,,
X36.45633202,69,up,
,,,
X37.10283187,47,down,
,,,
X37.43833426,1,up,
,,,
X37.45433426,30,down,
,,,
X38.77416497,54,down,
X39.68324896,67,up,
X39.68350106,58,up,
X39.69041752,6,up,
X39.69158362,50,down,
X39.69925029,62,up,
X39.69933438,48,up,
,,,
X39.70691619,55,up,
X39.70816772,51,up,
X39.72366719,10,up,
