"","RT","feature_rank","direction","metabolite.id","peak_no","peak_value","featureRankedList4join2"
"1","X10.17316694",84,"down","alanine",69,0.577414975893232,84
"2","X12.85133313",42,"up","valine",167,0.62155057528997,42
"3","X14.34158344",44,"up","phosphate",233,0.839856363512609,44
"4","X14.3480001",75,"down","phosphate",240,0.610992663544326,75
"5","X14.8730837",80,"up","proline",330,0.722851186848449,80
"6","X15.0651664",64,"down","glycine",350,0.569152032047689,64
"7","X15.07308317",82,"down","glycine",367,0.56787581161089,82
"8","X16.30483329",76,"down","serine",402,0.563423948813502,76
"9","X16.30550035",51,"down","serine",415,0.677156942401864,51
"10","X16.86816717",43,"down","threonine",430,0.644615355275852,43
"11","X16.87091681",78,"down","threonine",444,0.59775890653943,78
"12","X19.15374969",6,"down","butanedioic acid",484,0.74882619622982,6
"13","X19.1540001",63,"down","butanedioic acid",498,0.829903412854249,63
"14","X19.86166734",8,"up","aspartic acid",524,0.663866688016357,8
"15","X19.86183401",94,"up","aspartic acid",528,0.59237091066286,94
"16","X19.88650011",24,"up","aspartic acid",575,0.720245896303575,24
"17","X20.56808271",14,"down","cysteine",605,0.875697281878725,14
"18","X20.65158352",2,"up","trihydroxybutyric acid",606,0.647726510586716,2
"19","X21.10150033",56,"down","proline/valine",612,0.844512527592431,56
"20","X21.47466596",83,"down","proline/valine",620,0.640837619634109,83
"21","X21.89816723",69,"down","glutamine",624,0.939133839080893,69
"22","X21.93850001",93,"down","glutamine",627,0.882916703335319,93
"23","X21.93866611",31,"up","glutamine",630,0.719760480280765,31
"24","X21.95383243",52,"up","glutamine",644,0.873777250099863,52
"25","X21.95449924",29,"up","glutamine",656,0.630959095968493,29
"26","X22.03499947",68,"down","phenylalanine",674,0.856536258931738,68
"27","X22.03500023",26,"down","phenylalanine",677,0.782681917830278,26
"28","X22.90500051",98,"down","asparagine",693,0.807337717047101,98
"29","X22.91850014",33,"down","asparagine",697,0.866613937808627,33
"30","X22.93800016",28,"down","asparagine",700,0.577071506288642,28
"31","X23.06508332",11,"up","ribose",719,0.922066497152761,11
"32","X23.09716722",41,"up","ribose",741,0.692392790798877,41
"33","X23.96649931",21,"up","phosphoric acid",758,0.634533239615279,21
"34","X24.21650016",1,"down","lysine",771,0.717751375655506,1
"35","X24.49758359",79,"down","urea (NOT UREA)",776,0.835636274686591,79
"36","X24.75633327",61,"up","phosphate derivative",786,0.65865267685974,61
"37","X24.76016701",60,"down","phosphate derivative",793,0.688321822745581,60
"38","X24.76599957",58,"down","phosphate derivative",804,0.683664001542472,58
"39","X24.77099996",38,"up","phosphate derivative",819,0.639990274881533,38
"40","X24.77408309",70,"up","phosphate derivative",830,0.604363046171098,70
"41","X24.78549997",59,"up","phosphate derivative",841,0.782594735993997,59
"42","X25.55983354",49,"down","hypoxanthine",856,0.67552046640846,49
"43","X25.56049943",15,"down","hypoxanthine",859,0.972076081805449,15
"44","X25.75133398",62,"up","ornithine",871,0.71016209287408,62
"45","X25.75274949",23,"down","ornithine",874,0.662668230813329,23
"46","X25.75299947",87,"down","ornithine",875,0.768400240952864,87
"47","X25.75299989",22,"down","ornithine",879,0.676673058280761,22
"48","X27.29400037",91,"down","glucose",965,0.912562078455524,91
"49","X27.2959998",34,"down","glucose",969,0.887828057263585,34
"50","X27.29683371",92,"up","glucose",974,0.876435269726396,92
"51","X27.29924997",20,"down","glucose",994,0.999935323799959,20
"52","X27.3085839",81,"down","glucose",1010,0.867005602625143,81
"53","X27.31141725",17,"up","glucose",1016,0.938725075720039,17
"54","X27.32091704",73,"down","glucose",1046,0.923631670438363,73
"55","X27.33458314",48,"down","glucose",1075,0.68558177619866,48
"56","X27.50349969",3,"down","histidine",1089,0.718831142342709,3
"57","X27.6143334",35,"up","galactose",1107,0.913882212052707,35
"58","X27.69250069",7,"up","galactose",1129,1.12097822063122,7
"59","X27.7163327",90,"down","galactose",1142,0.680428758722124,90
"60","X27.71649954",66,"up","galactose",1146,0.654869043049161,66
"61","X27.9710002",37,"up","tyrosine",1177,0.846409295452655,37
"62","X28.54349928",53,"up","gluconic acid",1184,0.812663201043592,53
"63","X29.21349909",47,"down","purine derivative",1218,0.616766166619772,47
"64","X29.30641635",55,"down","myo inositol",1219,0.986600325499136,55
"65","X29.38050027",67,"down","myo inositol",1224,1.00372259075303,67
"66","X29.77266649",45,"down","ribose 6 phosphate",1244,0.645277904552257,45
"67","X30.41866574",4,"up","myoinositol",1262,0.748377973003967,4
"68","X30.41949906",89,"up","myoinositol",1264,0.752021350055008,89
"69","X30.42049905",36,"up","myoinositol",1268,0.814876281175892,36
"70","X32.85033242",30,"down","myoinositol",1316,0.790355886108672,30
"71","X32.95383416",85,"down","ribose 6 phosphate",1365,0.834538319066827,85
"72","X39.69049972",9,"up","sugarz",1500,0.902215651270563,9
"73","X39.69150164",88,"up","sugarz",1512,0.825452607372586,88
"74","X39.69258438",99,"up","sugarz",1533,0.855946694391497,99
