plate_key,sample_name,experiment,time,sample_no
a4,exp3_base6,3,1,6
b4,exp3_base6,3,1,6
c4,exp2_base24,2,1,24
d4,exp2_base24,2,1,24
e4,exp3_base,3,1,unknown
f4,exp3_base,3,1,unknown
g4,exp2_baseC54,2,1,C54
h4,exp2_baseC54,2,1,C54
a5,exp4_base19,4,1,19
b5,exp4_base19,4,1,19
c5,exp2_baseC49,2,1,C49
d5,exp2_baseC49,2,1,C49
e5,exp2_baseC53,2,1,C53
f5,exp2_baseC53,2,1,C53
g5,exp2_base22,2,1,22
h5,exp2_base22,2,1,22
a6,exp2_base23,2,1,23
b6,exp2_base23,2,1,23
c6,exp2_base21,2,1,21
d6,exp2_base21,2,1,21
e6,exp2_base20,2,1,20
f6,exp2_base20,2,1,20
g6,exp1_base25,1,1,25
h6,exp1_base25,1,1,25
a7,exp3_base29,3,1,29
b7,exp3_base29,3,1,29
c7,exp3_base4,3,1,4
d7,exp3_base4,3,1,4
e7,exp3_base35,3,1,35
f7,exp3_base35,3,1,35
g7,exp3_base36,3,1,36
h7,exp3_base36,3,1,36
a8,exp3_base9,3,1,9
b8,exp3_base9,3,1,9
c8,exp3_base1,3,1,1
d8,exp3_base1,3,1,1
e8,exp3_base34,3,1,34
f8,exp3_base34,3,1,34
g8,exp2_base41,2,1,41
h8,exp2_base41,2,1,41
a9,exp3_base13,3,1,13
b9,exp3_base13,3,1,13
c9,exp1_base6,1,1,6
d9,exp1_base6,1,1,6
e9,exp1_base2,1,1,2
f9,exp1_base2,1,1,2
g9,exp1_base4,1,1,4
h9,exp1_base4,1,1,4
a10,exp3_base30,3,1,30
b10,exp3_base30,3,1,30
c10,exp1_base5,1,1,5
d10,exp1_base5,1,1,5
e10,exp1_base29,1,1,29
f10,exp1_base29,1,1,29
g10,exp1_base26,1,1,26
h10,exp1_base26,1,1,26
a11,exp1_base35,1,1,35
b11,exp1_base35,1,1,35
c11,exp3_base33,3,1,33
d11,exp3_base33,3,1,33
e11,exp1_base32,1,1,32
f11,exp1_base32,1,1,32
g11,exp1_base13,1,1,13
h11,exp1_base13,1,1,13
a12,exp1_base1,1,1,1
b12,exp1_base1,1,1,1
c12,exp1_base30,1,1,30
d12,exp1_base30,1,1,30
e12,exp3_base17,3,1,17
f12,exp3_base17,3,1,17
g12,exp1_base17,1,1,17
h12,exp1_base17,1,1,17
