cell,cort.pg.ml
A4,491.8908669
B4,525.2903583
C4,360.0377792
D4,272.3282684
E4,629.3015091
F4,403.9026918
G4,186.6557485
H4,242.7526901
A5,468.2424204
B5,417.3900412
C5,87.68769599
D5,114.0410851
E5,1082.023778
F5,1064.398213
G5,33.82547759
H5,26.8773589
A6,192.8886638
B6,143.5220694
C6,219.9723253
D6,320.9367134
E6,1296.272024
F6,1527.646342
G6,460.6150124
H6,276.8378019
A7,186.6557485
B7,310.5661124
C7,431.3277679
D7,1013.225553
E7,212.8642409
F7,158.385235
G7,143.5220694
H7,127.9351888
A8,63.13719837
B8,59.12275134
C8,326.251163
D8,231.0819632
E8,32.7324567
F8,23.18422495
G8,18.72698674
H8,27.32242599
A9,276.8378019
B9,326.251163
C9,1.330786592
D9,1.973751347
E9,263.5283783
F9,183.6152304
G9,87.68769599
H9,96.76864608
A10,7.71443016
B10,5.554570704
C10,533.9887371
D10,525.2903583
E10,3.177896878
F10,2.288160309
