plate_key,sample_name,experiment,time,sample_no
a4,exp2_15base,2,1,15
b4,exp2_15base,2,1,15
c4,exp4_C53base,4,1,C53
d4,exp4_C53base,4,1,C53
e4,exp2_12base,2,1,12
f4,exp2_12base,2,1,12
g4,exp2_C52base,2,1,C52
h4,exp2_C52base,2,1,C52
a5,exp2_C51base,2,1,C51
b5,exp2_C51base,2,1,C51
c5,exp2_C50base,2,1,C50
d5,exp2_C50base,2,1,C50
e5,exp4_9base,4,1,9
f5,exp4_9base,4,1,9
g5,exp4_15Bbase,4,1,15
h5,exp4_15Bbase,4,1,15
a6,exp4_C50base,4,1,C50
b6,exp4_C50base,4,1,C50
c6,exp4_12base,4,1,12
d6,exp4_12base,4,1,12
e6,exp4_18base,4,1,18
f6,exp4_18base,4,1,18
g6,exp4_41base,4,1,41
h6,exp4_41base,4,1,41
a7,exp4_J1base,4,1,J1
b7,exp4_J1base,4,1,J1
c7,exp4_21base,4,1,21
d7,exp4_21base,4,1,21
e7,exp4_18base,4,1,18
f7,exp4_18base,4,1,18
g7,exp4_15Abase,4,1,15A
h7,exp4_15Abase,4,1,15A
a8,exp4_16base,4,1,16
b8,exp4_16base,4,1,16
c8,exp4_C51base,4,1,C51
d8,exp4_C51base,4,1,C51
e8,exp2_16base,2,1,16
f8,exp2_16base,2,1,16
g8,exp4_24base,4,1,24
h8,exp4_24base,4,1,24
a9,exp4_C54end,4,2,C54
b9,exp4_C54end,4,2,C54
c9,exp1_25Bend,1,2,25
d9,exp1_25Bend,1,2,25
e9,exp3_26Aend,3,2,26A
f9,exp3_26Aend,3,2,26A
g9,exp1_26end,1,2,26
h9,exp1_26end,1,2,26
a10,exp3_26Bend,3,2,26B
b10,exp3_26Bend,3,2,26B
c10,exp1_25Bend,1,2,25
d10,exp1_25Bend,1,2,25
e10,exp3_31base,3,1,31
f10,exp3_31base,3,1,31
