Pesticide,sample_no,experiment,Location,predator,treatment
control,28,1,Puruckerfreezerdoor,yes,3
control,27,1,Puruckerfreezerdoor,yes,3
control,36,1,Puruckerfreezerdoor,yes,3
control,31,1,Puruckerfreezerdoor,yes,3
control,33,1,Puruckerfreezerdoor,yes,3
control,2,1,Puruckerfreezerdoor,yes,3
control,26,1,Puruckerfreezerdoor,yes,3
control,25,1,Puruckerfreezerdoor,yes,3
control,4,1,Puruckerfreezerdoor,yes,3
control,13,1,Puruckerfreezerdoor,yes,3
carbaryl,34,1,Puruckerfreezerdoor,yes,4
carbaryl,17,1,Puruckerfreezerdoor,yes,4
carbaryl,1,1,Puruckerfreezerdoor,yes,4
carbaryl,6,1,Puruckerfreezerdoor,yes,4
carbaryl,5,1,Puruckerfreezerdoor,yes,4
carbaryl,35,1,Puruckerfreezerdoor,yes,4
carbaryl,29,1,Puruckerfreezerdoor,yes,4
carbaryl,3,1,Puruckerfreezerdoor,yes,4
carbaryl,30,1,Puruckerfreezerdoor,yes,4
carbaryl,32,1,Puruckerfreezerdoor,yes,4
control,C54,2,Puruckerfreezerdoor,no,1
control,C51,2,Puruckerfreezerdoor,no,1
control,C53,2,Puruckerfreezerdoor,no,1
control,19,2,Puruckerfreezerdoor,no,1
control,C52,2,Puruckerfreezerdoor,no,1
control,20,2,Puruckerfreezerdoor,no,1
control,C50,2,Puruckerfreezerdoor,no,1
control,C49,2,Puruckerfreezerdoor,no,1
control,41,2,Puruckerfreezerdoor,no,1
control,22,2,Puruckerfreezerdoor,no,1
carbaryl,21,2,Puruckerfreezerdoor,no,2
carbaryl,24,2,Puruckerfreezerdoor,no,2
carbaryl,12,2,Puruckerfreezerdoor,no,2
carbaryl,18,2,Puruckerfreezerdoor,no,2
carbaryl,15,2,Puruckerfreezerdoor,no,2
carbaryl,23,2,Puruckerfreezerdoor,no,2
carbaryl,14,2,Puruckerfreezerdoor,no,2
carbaryl,9,2,Puruckerfreezerdoor,no,2
carbaryl,16,2,Puruckerfreezerdoor,no,2
carbaryl,J1,2,Puruckerfreezerdoor,no,2
control,32,3,JohnWashingtonFreezer,yes,3
control,1,3,JohnWashingtonFreezer,yes,3
control,17,3,JohnWashingtonFreezer,yes,3
control,5,3,JohnWashingtonFreezer,yes,3
control,34,3,JohnWashingtonFreezer,yes,3
control,28,3,JohnWashingtonFreezer,yes,3
control,35,3,JohnWashingtonFreezer,yes,3
control,31,3,JohnWashingtonFreezer,yes,3
control,13,3,JohnWashingtonFreezer,yes,3
control,2,3,JohnWashingtonFreezer,yes,3
carbaryl,6,3,JohnWashingtonFreezer,yes,4
carbaryl,30,3,JohnWashingtonFreezer,yes,4
carbaryl,33,3,JohnWashingtonFreezer,yes,4
carbaryl,25,3,JohnWashingtonFreezer,yes,4
carbaryl,3,3,JohnWashingtonFreezer,yes,4
carbaryl,27,3,JohnWashingtonFreezer,yes,4
carbaryl,4,3,JohnWashingtonFreezer,yes,4
carbaryl,26,3,JohnWashingtonFreezer,yes,4
carbaryl,36,3,JohnWashingtonFreezer,yes,4
carbaryl,29,3,JohnWashingtonFreezer,yes,4
control,16,4,,no,1
control,C50,4,,no,1
control,20,4,,no,1
control,9,4,,no,1
control,19,4,,no,1
control,18,4,,no,1
control,J1,4,,no,1
control,24,4,,no,1
control,C51,4,,no,1
control,C54,4,,no,1
carbaryl,C52,4,,no,2
carbaryl,C53,4,,no,2
carbaryl,12,4,,no,2
carbaryl,21,4,,no,2
carbaryl,14,4,,no,2
carbaryl,41,4,,no,2
carbaryl,23,4,,no,2
carbaryl,C49,4,,no,2
carbaryl,22,4,,no,2
carbaryl,15,4,,no,2
