cell,cort.pg.ml
A4,1236.538925
B4,1547.427781
C4,1570.738527
D4,1851.537309
E4,285.6565297
F4,273.1263723
G4,2150.14393
H4,2150.14393
A5,1097.134167
B5,876.7123873
C5,2572.702748
D5,2650.797934
E5,559.8245608
F5,312.4677461
G5,2118.234445
H5,1594.400429
A6,1770.320702
B6,1667.546381
C6,0.086370143
D6,0.218253411
E6,1255.166382
F6,1097.134167
G6,91.69331251
H6,106.4811486
A7,669.8445466
B7,630.9573445
C7,1332.524874
D7,1352.598281
E7,467.8750323
F7,415.1278003
G7,62.15935417
H7,70.05748548
A8,930.7459794
B8,876.7123873
C8,1501.838995
D8,1501.838995
E8,1796.989149
F8,1332.524874
G8,1414.651129
H8,1393.656819
A9,434.1725254
B9,496.7111353
C9,135.2598281
D9,109.7134167
E9,1796.989149
F9,1744.048032
G9,640.4622054
H9,777.8737049
A10,838.2559087
B10,721.8410207
C10,125.5166382
D10,157.0738527
E10,621.5935417
F10,594.3277028
G10,75.49567595
H10,82.58156652
A11,221.5412213
B11,253.4522225
C11,789.5917417
D11,801.4863012
E11,67.99352117
F11,69.01778844
G11,51.94986408
H11,65.01102493
A12,208.6798517
B12,174.4048032
C12,559.8245608
D12,496.7111353
E12,182.4059333
F12,190.7741295
G12,150.1838995
H12,208.6798517
