cell,pg.ml
A4,1014.831822
B4,829.6524125
C4,657.5625467
D4,755.9838812
E4,289.211045
F4,370.5992991
G4,176.1308523
H4,432.7236862
A5,537.5751344
B5,482.3085047
C5,829.6524125
D5,755.9838812
E5,1472.070656
F5,1063.128839
G5,1241.343498
H5,1542.128196
A6,255.4877109
B6,170.7553115
C6,7.577433382
D6,5.913333975
E6,36.25045634
F6,31.53101935
G6,667.832694
H6,882.7111453
A7,284.763464
B7,222.2258358
C7,953.8314704
D7,896.4977782
E7,896.4977782
F7,688.8567068
G7,215.443469
H7,259.4780483
A8,699.6156222
B8,505.2621228
C8,505.2621228
D8,608.5328559
E8,439.4821854
F8,637.4936365
G8,312.5128733
H8,657.5625467
A9,939.1631415
B9,896.4977782
C9,359.2885514
D9,419.5168926
E9,6.590929405
F9,19.50245033
G9,637.4936365
H9,804.331293
A10,202.4934145
B10,199.3794052
C10,71.69026823
D10,135.3365528
E10,64.31998778
F10,51.77468307
G10,218.808375
H10,280.3842793
A11,16.19279774
B11,18.616471
C11,22.77168958
D11,21.73719156
E11,267.6466657
F11,263.5307087
G11,49.42260432
H11,64.31998778
A12,17.22837519
B12,15.94377966
C12,190.3217726
D12,271.8269079
E12,85.01525995
F12,59.52411075
G12,337.6921375
H12,439.4821854
,968.7288968
,599.1746408
,489.8414449
,225.6966722
,155.5931872
,32.52364604
,150.8444592
,10.01550981
,11.5145913
,11.33751619
,133.2553035
,5.143478644
,50.19451176
,12.44232568
,12.83402201
,4.013906224
