plate_key,sample_name,experiment,time,sample_no
a4,exp3_25end,3,2,25
b4,exp3_25end,3,2,25
c4,exp3_33end,3,2,33
d4,exp3_33end,3,2,33
e4,exp3_31end,3,2,31
f4,exp3_31end,3,2,31
g4,exp2_C51end,2,2,C51
h4,exp2_C51end,2,2,C51
a5,exp4_C51end,4,2,C51
b5,exp4_C51end,4,2,C51
c5,exp3_36end,3,2,36
d5,exp3_36end,3,2,36
e5,exp1_32end,1,2,32
f5,exp1_32end,1,2,32
g5,exp1_17end,1,2,17
h5,exp1_17end,1,2,17
a6,exp3_3end,3,2,3
b6,exp3_3end,3,2,3
c6,exp2_C54Bend,2,2,C54B
d6,exp2_C54Bend,2,2,C54B
e6,exp2_C54Aend,2,2,C54A
f6,exp2_C54Aend,2,2,C54A
g6,exp4_15end,4,2,15
h6,exp4_15end,4,2,15
a7,exp3_27base,3,1,27
b7,exp3_27base,3,1,27
c7,exp4_21end,4,2,21
d7,exp4_21end,4,2,21
e7,exp1_34end,1,2,34
f7,exp1_34end,1,2,34
g7,exp3_34end,3,2,34
h7,exp3_34end,3,2,34
a8,exp2_16end,2,2,16
b8,exp2_16end,2,2,16
c8,exp2_J1end,2,2,J1
d8,exp2_J1end,2,2,J1
e8,exp2_9end,2,2,9
f8,exp2_9end,2,2,9
g8,exp2_C53end,2,2,C53
h8,exp2_C53end,2,2,C53
a9,exp2_12end,2,2,12
b9,exp2_12end,2,2,12
c9,exp2_15end,2,2,15
d9,exp2_15end,2,2,15
e9,exp2_19end,2,2,19
f9,exp2_19end,2,2,19
g9,exp2_14end,2,2,14
h9,exp2_14end,2,2,14
a10,exp3_5base,3,1,5
b10,exp3_5base,3,1,5
c10,exp3_2base,3,1,2
d10,exp3_2base,3,1,2
e10,exp3_3base,3,1,3
f10,exp3_3base,3,1,3
g10,exp4_C49Abase,4,1,C49A
h10,exp4_C49Abase,4,1,C49A
a11,exp4_C49Bbase,4,1,C49B
b11,exp4_C49Bbase,4,1,C49B
c11,exp4_22base,4,1,22
d11,exp4_22base,4,1,22
e11,exp4_C54base,4,1,C54
f11,exp4_C54base,4,1,C54
g11,exp4_14base,4,1,14
h11,exp4_14base,4,1,14
a12,exp4_J1end,4,2,J1
b12,exp4_J1end,4,2,J1
c12,exp4_C52base,4,1,C52
d12,exp4_C52base,4,1,C52
e12,exp3_26base,3,1,26
f12,exp3_26base,3,1,26
g12,exp2_18end,2,2,18
h12,exp2_18end,2,2,18
